,Player,Owner,Innings,Not Outs,Orange Cap,Balls Faced,Highest,50,100,6s,4s
0,Chris Gayle,SBK,13,3,612,395,93,6,0,24,46
0,Chris Lynn,Ravi,13,0,561,411,75,4,0,21,32
2,David Warner,Sumanth,13,1,534,371,101,4,1,15,42
3,Ab de Villiers,Murali,12,3,526,372,87,4,0,19,32
4,Alex Hales,Ganesh,12,1,466,344,70,4,0,15,29
5,Shreyas Iyer,Girish,13,1,452,316,82,3,0,10,30
1,Jos Butler,Kaushik,16,0,433,304,46,0,0,9,29
11,Shubman Gill,SBK,13,0,427,218,77,4,0,17,24
6,Rohit Sharma,Chaitu,11,1,417,291,100,2,1,14,29
0,Tom Banton,Kaushik,16,2,408,235,55,2,0,20,36
7,Aaron Finch,KB,11,0,401,295,85,3,0,15,26
8,Yusuf Pathan,Dinesh,11,2,400,291,94,2,0,17,17
2,Karun Nair,Kaushik,16,0,398,293,55,1,0,7,29
9,Shikhar Dhawan,Girish,13,1,387,293,69,1,0,13,21
10,Mahendra Singh Dhoni,Rahul,11,0,378,291,90,3,0,17,23
12,Suresh Raina,Aditya,14,1,368,286,55,1,0,11,18
14,Shaun Marsh,Aditya,14,0,365,272,60,2,0,14,28
15,Joshua Phillippe,Ganesh,12,2,362,267,66,2,0,9,29
3,Andre Russell,Kaushik,15,0,358,203,84,2,0,23,13
17,Virat Kohli,Girish,13,1,354,266,57,2,0,7,26
1,Kane Williamson,Ravi,13,0,340,228,52,1,0,8,14
19,Ben Stokes,Ganesh,12,0,335,229,60,2,0,11,24
20,Jonny Bairstow,Murali,12,1,331,190,38,0,0,14,24
21,Ross Taylor,Murali,12,1,317,195,67,2,0,16,12
4,Harbhajan Singh,Kaushik,15,3,309,228,106,0,1,12,23
2,Shakib Al Hasan,Ravi,13,0,303,243,56,1,0,3,26
24,Moeen Ali,Aditya,14,1,302,213,46,0,0,11,18
25,KL Rahul,KB,11,2,301,219,41,0,0,7,15
26,Manish Pandey,Chaitu,11,0,300,215,53,1,0,7,19
28,D'arcy Short,Sumanth,13,1,287,228,76,2,0,5,21
29,Ajinkya Rahane,Murali,12,0,286,207,83,1,0,7,25
39,Steve Smith,SBK,12,3,285,208,52,1,0,5,16
5,Prithvi Shaw,Kaushik,15,2,285,191,38,0,0,8,20
3,Evin Lewis,Ravi,13,2,284,156,47,0,0,9,22
31,Dinesh Karthik,Sumanth,13,3,280,177,56,1,0,11,16
32,Washington Sundar,Aditya,14,1,280,180,52,1,0,16,16
33,Travis Head,Aditya,14,4,278,205,30,0,0,8,15
34,Jason Roy,Chaitu,11,0,277,213,46,0,0,5,18
4,Rishab Pant,Ravi,13,1,263,157,40,0,0,11,15
36,Ambati Rayudu,Dinesh,10,0,259,205,60,1,0,10,17
37,Martin Guptil,KB,11,1,255,191,49,0,0,8,13
6,Mandeep Singh,Kaushik,14,2,254,186,45,0,0,2,22
40,Sanju Samson,Girish,13,2,250,162,38,0,0,8,20
41,Kedar Jadhav,Rahul,11,1,248,159,45,0,0,9,19
43,Nicholas Pooran,SBK,12,1,248,178,61,2,0,10,9
42,Shane Watson,Murali,12,0,241,195,48,0,0,6,17
44,Shimron Hetmyer,Chaitu,11,0,238,193,54,1,0,6,9
5,Manan Vohra,Ravi,13,1,237,170,48,0,0,8,17
46,Colin De Grandhomme,Dinesh,10,1,214,148,56,1,0,6,12
47,Quinton de Kock,Rahul,11,1,214,150,40,0,0,10,13
48,Glenn Maxwell,Dinesh,11,1,214,153,37,0,0,10,8
49,Shivam Dube,Aditya,13,2,213,161,32,0,0,7,9
51,David Miller,Rahul,10,2,206,140,53,1,0,8,8
52,Ishan Kishan,Aditya,13,1,204,156,34,0,0,11,10
53,Hardik Pandya,Dinesh,11,1,199,133,33,0,0,7,15
55,Rahul Tripathi,Ganesh,10,4,194,124,44,0,0,5,11
56,Mohammad Nabi,Rahul,11,1,192,123,33,0,0,9,8
57,Lendl Simmons,Ganesh,9,3,188,132,42,0,0,5,17
7,Chris Morris,Kaushik,16,3,188,123,27,0,0,6,10
58,Kusal Perera,KB,11,2,187,136,34,0,0,5,11
59,Murali Vijay,Sumanth,11,1,185,146,38,0,0,5,13
65,Sarfaraz Khan,SBK,12,3,185,117,31,0,0,3,15
60,Sunil Narine,Sumanth,13,1,182,131,31,0,0,8,10
61,Vijay Shankar,SBK,13,0,181,138,32,0,0,1,9
62,Marcus Stoinis,Sumanth,13,3,179,133,37,0,0,5,7
63,Eoin Morgan,Girish,12,3,173,119,28,0,0,5,11
64,Dwayne Bravo,Sumanth,13,2,173,112,30,0,0,8,9
66,Ben Cutting,Chaitu,11,0,171,111,31,0,0,5,13
67,Kieron Pollard,KB,11,5,170,95,37,0,0,10,6
69,Isuru Udana,Rahul,10,2,169,134,51,1,0,1,11
70,JP Duminy,Murali,11,5,168,97,35,0,0,7,8
71,Robin Uthappa,Dinesh,11,4,163,108,42,0,0,8,7
72,Sam Curran,Sumanth,11,2,159,94,42,0,0,7,12
73,Suryakumar Yadav,KB,9,1,152,107,29,0,0,4,14
74,Nitish Rana,Ganesh,12,3,151,111,62,1,0,6,6
75,Krunal Pandya,KB,10,1,147,102,28,0,0,3,7
76,Krishnappa Gowtham,Sumanth,12,1,146,97,20,0,0,3,11
77,Wriddhiman Saha,Dinesh,9,1,135,105,38,0,0,3,7
78,James Neesham,Ganesh,12,1,132,90,29,0,0,3,14
79,Rahul Tewatia,SBK,11,2,131,95,29,0,0,4,9
80,Mitchell Starc,Girish,11,4,126,88,24,0,0,4,5
81,Sam Billings,Girish,10,1,125,89,55,1,0,2,6
82,Deepak Chahar,Rahul,10,2,124,68,28,0,0,8,6
83,Faf du Plessis,Rahul,10,1,105,83,37,0,0,1,9
84,Alex Carey,Chaitu,11,1,102,64,28,0,0,5,7
85,Keemo Paul,Girish,10,1,100,69,27,0,0,4,5
6,Dale Steyn,Ravi,11,8,97,46,17,0,0,5,7
87,Pat Cummins,Chaitu,11,4,85,61,22,0,0,2,2
88,Ravindra Jadeja,Murali,8,4,84,44,25,0,0,4,6
90,Mitchell Marsh,SBK,10,6,83,48,16,0,0,3,3
7,Rahul Chahar,Ravi,11,1,78,46,15,0,0,4,6
8,Dhawal Kulkarni,Ravi,8,1,70,50,21,0,0,2,3
92,Yuzvendra Chahal,Chaitu,8,6,70,39,25,0,0,3,2
93,Parthiv Patel,Ganesh,8,2,69,48,23,0,0,0,11
94,Bhuvneshwar Kumar,Chaitu,9,3,67,45,14,0,0,1,8
95,Mitchell Santner,Rahul,7,3,62,33,22,0,0,3,5
96,Mitchell McClenaghan,KB,7,0,61,51,18,0,0,2,3
8,Shardul Thakur,Kaushik,11,2,57,36,9,0,0,0,7
97,Rashid Khan,Dinesh,9,2,56,39,10,0,0,2,2
98,Ravichandran Ashwin,KB,6,2,54,39,31,0,0,0,5
100,Jofra Archer,Murali,7,2,47,28,26,0,0,1,1
101,Piyush Chawla,Murali,5,4,47,35,22,0,0,1,2
102,Andrew Tye,Dinesh,6,2,44,25,13,0,0,2,3
103,Khaleel Ahmed,Ganesh,8,0,44,26,9,0,0,1,7
104,Kuldeep Yadav,Chaitu,3,1,40,17,19,0,0,3,2
105,Amit Mishra,Dinesh,6,1,36,28,18,0,0,3,0
106,Jasprit Bumrah,Dinesh,5,2,36,20,14,0,0,2,3
107,Shreyas Gopal,Rahul,6,2,34,32,19,0,0,0,2
108,Kagiso Rabada,Aditya,7,2,33,25,20,0,0,1,3
9,Imran Tahir,Kaushik,12,6,32,28,6,0,0,1,2
112,Josh Hazlewood,SBK,6,4,32,16,10,0,0,2,1
110,Lockie Ferguson,Girish,3,0,31,18,13,0,0,0,4
111,Lasith Malinga,Aditya,6,2,29,18,8,0,0,1,2
113,Navdeep Saini,Girish,6,3,27,16,17,0,0,1,2
114,Sandeep Sharma,Rahul,5,4,26,16,10,0,0,0,2
115,Mayank Markhande,Sumanth,5,2,26,17,10,0,0,1,1
116,Mohammad Shami,Sumanth,5,3,25,14,10,0,0,0,3
9,Ishant Sharma,Ravi,7,4,23,20,12,0,0,0,2
118,Axar patel,Aditya,13,1,22,15,7,0,0,0,2
119,Sandeep Lamichhane,Girish,5,5,22,9,10,0,0,0,3
10,Mujeeb Ur Rahman,Kaushik,7,1,20,15,4,0,0,0,2
126,Adam Zampa,SBK,4,1,19,11,8,0,0,1,1
10,Fabian Allen,Ravi,6,2,18,13,8,0,0,1,0
122,Lungisani Ngidi,Ganesh,7,2,18,21,7,0,0,0,0
124,Shahbaz Nadeem,SBK,3,1,16,10,12,0,0,0,2
123,Trent Boult,Chaitu,4,2,15,15,8,0,0,0,0
125,Nathan Coulter-Nile,KB,6,3,14,11,11,0,0,1,0
127,Umesh Yadav,Murali,4,2,13,10,7,0,0,0,1
128,Sheldon Cottrell,Aditya,4,4,9,7,6,0,0,0,1
129,Siddarth Kaul,KB,5,1,9,12,4,0,0,0,0
130,Karn Sharma,Ganesh,5,2,7,8,5,0,0,0,0
131,Mohit Sharma,Murali,2,1,6,6,5,0,0,0,0
