,Player,Owner,Innings,Balls,Dots,Runs conceeded,Purple Cap,Best Figures,4fer,5fer
0,Lungisani Ngidi,SBK,7,146,60,215,25,21 for 5,3,1
3,Hardus Viljoen,Chaitu,10,201,74,343,24,45 for 4,1,0
2,Andrew Tye,Subhash,9,188,67,278,24,32 for 5,1,1
1,Billy Stanlake,Dk,10,231,101,325,24,32 for 4,2,0
4,Adam Zampa,Aditya,11,234,101,293,23,22 for 4,1,0
0,Dwayne Bravo,Sumanth,9,188,69,304,23,38 for 4,2,0
7,Ravichandran Ashwin,Aditya,11,240,97,321,22,30 for 5,0,1
6,Kagiso Rabada,Dinesh,8,170,60,247,22,39 for 4,1,0
5,Nathan Coulter-Nile,Kaushik,6,141,64,200,22,30 for 5,2,2
10,Imran Tahir,Dinesh,8,180,67,267,20,36 for 4,2,0
9,Mitchell Marsh,SBK,7,158,53,214,20,36 for 4,1,0
8,Bhuvneshwar Kumar,Subhash,9,196,83,302,20,42 for 4,1,0
0,Sheldon Cottrell,Ganesh,8,169,67,239,20,33 for 5,0,1
11,Lasith Malinga,Ravi,10,206,71,289,19,32 for 4,1,0
16,Mitchell McClenaghan,Girish,8,186,71,303,18,39 for 4,1,0
15,Kane Richardson,Ravi,10,213,79,332,18,29 for 3,0,0
14,Yuzvendra Chahal,Chaitu,10,210,75,244,18,20 for 4,1,0
13,Chris Morris,Dk,10,217,81,345,18,23 for 3,0,0
17,Jasprit Bumrah,Aditya,11,238,68,390,17,34 for 3,0,0
1,Andile Phehlukwayo,Ganesh,8,165,60,236,17,22 for 3,0,0
2,Jaydev Unadkat,Ganesh,8,192,65,312,16,28 for 3,0,0
19,Sreenath Aravind,Aditya,11,181,73,281,16,22 for 3,0,0
23,Shakib Al Hasan,Ravi,10,240,68,354,15,32 for 3,0,0
21,Dale Steyn,Rahul,7,158,66,241,15,25 for 3,0,0
20,Deepak Chahar,Rahul,7,152,52,199,15,23 for 3,0,0
24,David WIlley,Dk,8,152,50,214,14,36 for 4,1,0
26,Mitchell Santner,Rahul,7,168,68,213,13,32 for 3,0,0
27,Keemo Paul,KB,6,126,55,165,13,19 for 3,0,0
28,Harbhajan Singh,Chaitu,10,228,80,325,13,36 for 3,0,0
30,Mustafizur Rahman,Chaitu,10,181,69,222,12,23 for 2,0,0
33,Andre Russell,Chaitu,10,182,59,334,12,21 for 2,0,0
32,Moeen Ali,Rahul,7,162,67,220,12,21 for 3,0,0
29,Rashid Khan,KB,6,136,53,177,12,32 for 4,1,0
31,Jofra Archer,Girish,8,187,72,268,12,31 for 3,0,0
40,Harshal Patel,KB,6,139,49,230,11,34 for 2,0,0
39,Amit Mishra,Murali,7,146,51,222,11,21 for 3,0,0
37,Sandeep Sharma,Dinesh,8,162,52,243,11,37 for 3,0,0
36,Shreyas Gopal,Kaushik,6,144,42,241,11,38 for 3,0,0
35,Hanuma Vihari,Dk,10,216,84,292,11,17 for 4,1,0
34,Fabian Allen,Ravi,10,234,92,308,11,21 for 3,0,0
38,Mujeeb Ur Rahman,Murali,7,162,62,258,11,33 for 3,0,0
41,Piyush Chawla,Girish,8,192,82,221,10,26 for 3,0,0
42,Virat Kohli,Subhash,9,102,31,169,10,5 for 2,0,0
44,Sunil Narine,Dinesh,8,186,73,231,10,25 for 2,0,0
43,Rahul Chahar,SBK,7,162,68,224,10,30 for 4,1,0
3,Dhawal Kulkarni,Ganesh,8,136,44,227,10,18 for 2,0,0
1,Sam Curran,Sumanth,9,156,54,247,9,40 for 3,0,0
47,Vinay Kumar,Ravi,10,162,60,263,9,37 for 3,0,0
50,Pawan Negi,Dk,10,132,46,216,8,25 for 2,0,0
49,Mitchell Starc,KB,6,138,51,201,8,29 for 3,0,0
48,Moises Henriques,Girish,8,128,42,186,8,28 for 3,0,0
52,Shahbaz Nadeem,Subhash,9,156,63,240,7,39 for 3,0,0
51,Mohammad Nabi,Aditya,11,192,64,262,7,19 for 2,0,0
53,Stuart Binny,Girish,8,126,47,185,7,15 for 2,0,0
55,Lockie Ferguson,Murali,7,138,37,228,7,41 for 2,0,0
54,Nitish Rana,Rahul,7,156,54,207,7,23 for 3,0,0
57,Kieron Pollard,Subhash,8,132,32,205,6,14 for 2,0,0
58,Trent Boult,Murali,5,72,18,150,6,48 for 3,0,0
59,Pat Cummins,Aditya,11,162,56,238,6,26 for 2,0,0
