,Player,Owner,Innings,Not Outs,Orange Cap,Balls Faced,Highest,50,100,6s,4s
0,Chris Gayle,Aditya,11,0,500,302,79,6,0,31,33
1,Jonny Bairstow,Subhash,9,1,460,262,95,5,0,18,45
0,KL Rahul,Ganesh,8,0,386,243,83,5,0,16,31
0,Ambati Rayudu,Sumanth,9,2,383,243,75,5,0,18,22
3,Manan Vohra,Ravi,10,0,368,243,79,4,0,12,31
4,Shikhar Dhawan,Chaitu,10,0,354,248,53,2,0,15,27
5,Kusal Perera,Chaitu,10,0,349,249,78,3,0,10,34
6,Virat Kohli,Subhash,9,0,339,234,65,4,0,9,23
7,Quinton de Kock,Murali,7,0,330,232,67,4,0,12,22
8,Sunil Narine,Dinesh,8,0,320,176,66,3,0,20,23
10,Ishan Kishan,Girish,8,1,279,195,80,1,0,12,19
11,Rahul Tripathi,Aditya,11,1,276,205,61,2,0,11,17
12,Lendl Simmons,Ravi,10,0,273,167,54,2,0,14,20
13,Krunal Pandya,Dk,10,1,270,180,57,3,0,10,23
14,Shubman Gill,Girish,8,0,257,181,58,1,0,7,20
15,Travis Head,Aditya,11,0,253,166,64,2,0,12,14
16,Rohit Sharma,Murali,7,0,252,167,100,1,1,14,12
17,D'arcy Short,SBK,7,1,240,176,73,1,0,9,15
18,Shimron Hetmyer,Chaitu,10,2,238,127,44,0,0,10,17
19,Suryakumar Yadav,Subhash,9,0,237,159,69,1,0,8,23
20,Kane Williamson,Ravi,10,0,236,143,59,1,0,12,20
21,Karun Nair,Dk,10,0,234,159,47,0,0,5,23
22,Prithvi Shaw,SBK,7,0,233,143,77,2,0,9,24
2,Ajinkya Rahane,Ganesh,8,1,226,156,67,2,0,7,16
23,David Warner,Dk,10,1,211,153,49,0,0,7,12
24,Robin Uthappa,Dinesh,8,1,206,136,57,2,0,5,16
25,Martin Guptil,Dinesh,8,0,204,139,74,2,0,11,15
26,Manish Pandey,Chaitu,10,1,204,132,64,1,0,4,16
27,Ab de Villiers,Girish,8,0,203,132,58,1,0,8,12
28,Suresh Raina,KB,6,0,201,131,50,1,0,8,14
1,Ben Cutting,Ganesh,8,1,201,101,61,2,0,13,13
29,Pawan Negi,Dk,10,1,197,124,51,1,0,8,17
1,Aaron Finch,Sumanth,9,0,196,141,55,0,0,6,15
30,Andre Russell,Chaitu,10,2,193,121,81,1,0,13,7
31,Faf du Plessis,Kaushik,6,1,193,127,65,3,0,4,15
33,Washington Sundar,Kaushik,6,0,189,123,63,1,0,4,18
4,James Neesham,Ganesh,8,0,187,106,101,0,1,9,17
2,Hardik Pandya,Sumanth,9,0,184,129,48,0,0,7,12
35,Mayank Agarwal,KB,6,0,182,114,58,1,0,9,17
3,Glenn Maxwell,Sumanth,9,0,182,136,53,1,0,5,13
37,Vijay Shankar,Dinesh,8,2,180,109,97,1,0,10,9
38,Moeen Ali,Rahul,7,0,176,89,49,0,0,12,18
39,Nitish Rana,Rahul,5,1,175,136,57,2,0,4,12
41,Jason Roy,Dk,10,0,174,138,47,0,0,11,13
40,Jos Butler,Rahul,7,2,174,98,64,1,0,7,11
42,Shaun Marsh,SBK,7,2,173,115,71,1,0,5,13
44,Shakib Al Hasan,Ravi,10,1,172,128,42,0,0,5,10
43,Ross Taylor,KB,6,0,172,104,53,1,0,5,17
45,Krishnappa Gowtham,Ravi,10,0,171,97,43,0,0,10,14
46,Shane Watson,Rahul,7,3,168,114,48,0,0,3,11
48,Mohammad Nabi,Aditya,11,0,167,104,50,1,0,6,17
47,Steve Smith,Murali,7,2,167,108,55,0,0,6,14
3,JP Duminy,Ganesh,7,1,166,112,51,1,0,7,11
49,Yusuf Pathan,Dinesh,8,1,165,105,57,1,0,6,8
50,Mahendra Singh Dhoni,Kaushik,5,0,164,111,69,1,0,6,11
51,Gurkeerat Singh,Murali,7,1,163,117,57,1,0,7,16
54,Evin Lewis,Girish,8,0,152,115,37,0,0,5,10
55,Rishab Pant,SBK,6,1,152,99,39,0,0,6,14
56,Wriddhiman Saha,Aditya,11,4,151,105,34,0,0,5,12
57,Sarfaraz Khan,Dk,9,1,149,87,46,0,0,4,16
58,Nicholas Pooran,Chaitu,10,0,148,113,35,0,0,3,9
59,Murali Vijay,KB,6,0,145,118,35,0,0,5,16
4,Ben Stokes,Sumanth,9,1,140,106,39,0,0,8,9
61,Shreyas Iyer,Girish,8,0,139,88,59,1,0,4,9
5,Sam Curran,Sumanth,9,1,138,98,39,0,0,5,9
62,Alex Carey,Aditya,11,0,135,107,35,0,0,4,11
63,Colin Munro,Subhash,8,0,135,84,45,0,0,9,5
64,Chris Morris,Dk,9,1,133,72,37,0,0,8,11
66,Fabian Allen,Ravi,10,0,128,86,29,0,0,5,9
67,Harbhajan Singh,Chaitu,10,3,125,74,40,0,0,4,10
68,Sam Billings,Dk,10,1,124,72,27,0,0,7,6
69,Parthiv Patel,Ravi,10,0,123,97,45,0,0,2,9
71,Pat Cummins,Aditya,10,2,119,79,25,0,0,5,7
70,Dinesh Karthik,KB,6,2,119,74,32,0,0,2,9
72,David Miller,SBK,7,1,118,78,37,0,0,2,11
74,Shardul Thakur,Rahul,7,0,115,62,44,0,0,4,16
75,Chris Lynn,Kaushik,6,0,113,87,51,1,0,4,9
76,Saurabh Tiwary,Ravi,10,1,113,87,56,1,0,1,12
5,Manoj Tiwary,Ganesh,7,3,107,81,38,0,0,3,8
78,Rishi Dhawan,Kaushik,6,2,99,66,37,0,0,4,6
6,Dwayne Bravo,Sumanth,9,0,98,73,22,0,0,3,8
81,Corey Anderson,Dinesh,8,0,96,66,38,0,0,3,8
6,Alex Hales,Ganesh,7,0,96,85,28,0,0,4,5
82,Shivam Dube,Subhash,9,0,95,65,27,0,0,2,9
83,Moises Henriques,Girish,8,1,93,68,27,0,0,1,8
84,Kieron Pollard,Subhash,9,3,92,54,23,0,0,5,7
86,Mandeep Singh,Dinesh,8,1,85,72,32,0,0,2,5
87,Ravichandran Ashwin,Aditya,10,2,84,70,23,0,0,1,7
88,Angelo Mathews,Rahul,6,1,83,50,35,0,0,3,6
89,Deepak Chahar,Rahul,6,0,80,47,23,0,0,7,3
7,Rahul Tewatia,Sumanth,8,3,78,41,22,0,0,2,6
90,James Faulkner,Kaushik,6,0,74,57,32,0,0,2,5
91,Amit Mishra,Murali,5,1,72,53,34,0,0,2,1
92,Kane Richardson,Ravi,10,5,71,53,20,0,0,3,2
93,Marcus Stoinis,Kaushik,6,1,70,49,28,0,0,2,5
95,Stuart Binny,Girish,8,3,67,42,25,0,0,2,4
96,David WIlley,Dk,7,0,66,44,37,0,0,2,7
97,Hanuma Vihari,Dk,7,3,61,37,32,0,0,1,5
98,Carlos Brathwaite,KB,6,1,61,43,38,0,0,1,6
99,Isuru Udana,Kaushik,5,0,59,30,30,0,0,3,6
8,Chris Woakes,Sumanth,7,1,57,41,18,0,0,0,4
101,Rahul Chahar,SBK,6,2,56,39,15,0,0,0,6
102,Eoin Morgan,Murali,5,1,54,37,22,0,0,1,3
