,Player,Owner,Innings,Not Outs,Orange Cap,Balls Faced,Highest,50,100,6s,4s
0,Chris Gayle,SBK,11,3,540,340,93,6,0,24,39
1,David Warner,Sumanth,11,1,489,338,101,4,1,14,39
2,Ab de Villiers,Murali,11,2,464,325,87,3,0,18,28
3,Alex Hales,Ganesh,11,1,457,336,70,4,0,15,28
0,Chris Lynn,Ravi,10,0,450,321,75,3,0,17,24
5,Yusuf Pathan,Dinesh,10,2,364,269,94,2,0,15,16
6,Aaron Finch,KB,9,0,364,262,85,3,0,15,23
7,Shubman Gill,SBK,11,0,359,266,77,3,0,15,19
0,Rohit Sharma,Chaitu,10,1,340,242,100,1,1,12,23
8,Mahendra Singh Dhoni,Rahul,9,0,331,257,90,3,0,13,20
9,Joshua Phillippe,Ganesh,11,2,329,242,66,2,0,9,27
10,Shikhar Dhawan,Girish,10,1,323,229,69,1,0,13,17
11,Ross Taylor,Murali,11,0,313,194,67,2,0,16,11
12,Jonny Bairstow,Murali,11,1,309,182,38,0,0,12,23
13,Shreyas Iyer,Girish,10,1,308,219,73,1,0,5,20
14,Virat Kohli,Girish,10,1,307,226,57,2,0,6,23
15,Ben Stokes,Ganesh,11,0,296,204,60,2,0,9,20
1,Manish Pandey,Chaitu,10,0,286,204,53,1,0,6,19
17,Suresh Raina,Aditya,11,1,284,231,55,1,0,7,13
18,D'arcy Short,Sumanth,11,1,275,218,76,2,0,5,20
19,Moeen Ali,Aditya,11,1,270,191,46,0,0,8,17
1,Shakib Al Hasan,Ravi,10,0,267,210,56,1,0,3,22
20,Shaun Marsh,Aditya,11,0,264,205,56,1,0,7,25
21,Tom Banton,Kaushik,9,1,262,159,55,2,0,11,25
22,Andre Russell,Kaushik,9,0,259,152,84,2,0,16,8
23,KL Rahul,KB,9,2,256,185,41,0,0,7,13
25,Dinesh Karthik,Sumanth,11,3,247,157,56,1,0,10,15
3,Jason Roy,Chaitu,10,0,241,188,46,0,0,3,17
26,Ambati Rayudu,Dinesh,9,0,240,177,60,1,0,10,16
2,Shimron Hetmyer,Chaitu,10,0,238,192,54,1,0,6,9
27,Shane Watson,Murali,11,0,224,183,48,0,0,5,16
28,Karun Nair,Kaushik,9,0,223,152,55,1,0,6,18
29,Martin Guptil,KB,9,1,222,166,49,0,0,6,12
33,Travis Head,Aditya,11,4,220,158,30,0,0,6,14
32,Jos Butler,Kaushik,9,0,220,152,46,0,0,5,14
2,Evin Lewis,Ravi,10,2,216,119,47,0,0,7,16
4,Kane Williamson,Ravi,10,0,215,140,41,0,0,5,9
34,Steve Smith,SBK,10,2,213,157,52,1,0,5,12
35,Nicholas Pooran,SBK,10,1,213,149,61,2,0,10,7
36,Harbhajan Singh,Kaushik,8,2,212,157,106,0,1,9,12
38,Sanju Samson,Girish,10,2,211,133,38,0,0,8,17
3,Rishab Pant,Ravi,10,0,210,126,40,0,0,10,11
39,Washington Sundar,Aditya,11,1,207,140,52,1,0,13,12
40,Glenn Maxwell,Dinesh,10,1,204,142,37,0,0,10,8
41,Ajinkya Rahane,Murali,11,0,203,158,41,0,0,5,17
42,Hardik Pandya,Dinesh,10,1,195,130,33,0,0,7,14
46,Quinton de Kock,Rahul,9,1,190,134,40,0,0,9,11
47,Kedar Jadhav,Rahul,9,1,185,108,39,0,0,8,15
48,Lendl Simmons,Ganesh,8,2,183,127,42,0,0,5,17
49,Ishan Kishan,Aditya,10,1,182,133,34,0,0,9,10
50,Mohammad Nabi,Rahul,9,1,175,113,33,0,0,8,8
52,Shivam Dube,Aditya,10,2,172,127,32,0,0,5,8
51,Vijay Shankar,SBK,11,0,172,127,32,0,0,1,9
4,Ben Cutting,Chaitu,10,0,171,107,31,0,0,5,13
54,JP Duminy,Murali,11,5,168,97,35,0,0,7,8
5,Manan Vohra,Ravi,10,1,165,118,48,0,0,5,11
55,Sunil Narine,Sumanth,11,1,159,118,31,0,0,6,9
56,Colin De Grandhomme,Dinesh,9,1,158,112,44,0,0,4,8
57,Kusal Perera,KB,9,1,158,120,34,0,0,5,7
58,Marcus Stoinis,Sumanth,11,3,154,109,37,0,0,4,6
59,Robin Uthappa,Dinesh,10,3,153,105,42,0,0,7,7
61,Nitish Rana,Ganesh,11,3,150,109,62,1,0,6,6
60,Rahul Tripathi,Ganesh,9,4,150,99,28,0,0,3,9
62,Murali Vijay,Sumanth,9,1,145,119,38,0,0,5,7
63,David Miller,Rahul,8,2,144,100,53,1,0,5,6
64,Sarfaraz Khan,SBK,10,2,141,98,28,0,0,1,13
65,Dwayne Bravo,Sumanth,11,2,140,96,30,0,0,5,7
67,Prithvi Shaw,Kaushik,8,1,136,89,38,0,0,4,11
68,Krunal Pandya,KB,9,1,132,91,28,0,0,3,6
69,Krishnappa Gowtham,Sumanth,10,1,130,84,20,0,0,3,10
70,James Neesham,Ganesh,11,1,125,84,29,0,0,3,13
71,Kieron Pollard,KB,9,4,121,60,37,0,0,8,6
72,Deepak Chahar,Rahul,9,2,120,63,28,0,0,8,6
73,Eoin Morgan,Girish,9,3,119,90,28,0,0,2,9
74,Rahul Tewatia,SBK,9,2,118,89,29,0,0,3,8
75,Mandeep Singh,Kaushik,7,1,116,105,33,0,0,0,9
76,Isuru Udana,Rahul,8,2,113,86,51,1,0,1,10
77,Wriddhiman Saha,Dinesh,8,0,111,92,38,0,0,3,5
78,Suryakumar Yadav,KB,7,1,108,82,29,0,0,3,8
79,Sam Billings,Girish,7,1,106,71,55,1,0,2,4
80,Mitchell Starc,Girish,9,3,100,68,21,0,0,4,3
81,Faf du Plessis,Rahul,8,0,94,73,37,0,0,1,8
82,Keemo Paul,Girish,7,1,89,60,27,0,0,3,5
83,Chris Morris,Kaushik,9,3,87,53,24,0,0,4,5
84,Sam Curran,Sumanth,9,2,85,46,22,0,0,6,6
85,Ravindra Jadeja,Murali,8,4,84,44,25,0,0,4,6
6,Dale Steyn,Ravi,8,5,81,40,17,0,0,4,6
5,Pat Cummins,Chaitu,10,3,77,59,22,0,0,1,2
86,Mitchell Marsh,SBK,8,5,74,43,16,0,0,2,3
7,Alex Carey,Chaitu,10,1,74,46,18,0,0,5,4
7,Rahul Chahar,Ravi,9,1,74,43,15,0,0,4,5
6,Yuzvendra Chahal,Chaitu,8,6,70,39,25,0,0,3,2
8,Bhuvneshwar Kumar,Chaitu,8,2,53,40,14,0,0,0,6
8,Dhawal Kulkarni,Ravi,7,1,49,31,14,0,0,2,2
94,Piyush Chawla,Murali,5,4,47,35,22,0,0,1,2
93,Jofra Archer,Murali,7,2,47,28,26,0,0,1,1
96,Parthiv Patel,Ganesh,7,2,46,28,17,0,0,0,8
95,Rashid Khan,Dinesh,8,2,46,35,10,0,0,1,2
98,Andrew Tye,Dinesh,6,2,44,25,13,0,0,2,3
9,Kuldeep Yadav,Chaitu,3,1,40,17,19,0,0,3,2
99,Mitchell Santner,Rahul,6,2,40,23,14,0,0,2,3
100,Khaleel Ahmed,Ganesh,7,0,38,24,9,0,0,0,7
101,Mitchell McClenaghan,KB,5,0,36,31,14,0,0,1,2
103,Jasprit Bumrah,Dinesh,5,2,36,20,14,0,0,2,3
102,Amit Mishra,Dinesh,6,1,36,28,18,0,0,3,0
104,Kagiso Rabada,Aditya,4,2,31,21,20,0,0,1,3
105,Shreyas Gopal,Rahul,5,1,29,29,19,0,0,0,1
106,Josh Hazlewood,SBK,5,4,28,12,10,0,0,2,1
107,Shardul Thakur,Kaushik,5,2,27,14,8,0,0,0,4
108,Imran Tahir,Kaushik,7,3,26,18,6,0,0,1,2
109,Sandeep Sharma,Rahul,5,4,26,16,10,0,0,0,2
110,Navdeep Saini,Girish,4,2,24,12,17,0,0,1,2
111,Ravichandran Ashwin,KB,4,1,23,19,10,0,0,0,3
9,Ishant Sharma,Ravi,6,3,22,19,12,0,0,0,2
114,Sandeep Lamichhane,Girish,3,3,19,7,10,0,0,0,3
115,Lockie Ferguson,Girish,2,0,19,9,13,0,0,0,4
10,Fabian Allen,Ravi,6,2,18,13,8,0,0,1,0
117,Lungisani Ngidi,Ganesh,6,1,16,19,7,0,0,0,0
10,Trent Boult,Chaitu,4,2,15,15,8,0,0,0,0
118,Nathan Coulter-Nile,KB,5,3,14,10,11,0,0,1,0
119,Shahbaz Nadeem,SBK,2,1,14,8,12,0,0,0,2
120,Mohammad Shami,Sumanth,3,2,14,8,10,0,0,0,2
121,Umesh Yadav,Murali,4,2,13,10,7,0,0,0,1
122,Adam Zampa,SBK,3,1,13,8,8,0,0,1,0
123,Lasith Malinga,Aditya,3,2,11,8,4,0,0,0,1
124,Mayank Markhande,Sumanth,3,1,11,6,6,0,0,1,0
125,Axar patel,Aditya,10,1,9,6,7,0,0,0,1
126,Siddarth Kaul,KB,4,1,8,9,4,0,0,0,0
128,Karn Sharma,Ganesh,5,2,7,8,5,0,0,0,0
129,Mohit Sharma,Murali,2,1,6,6,5,0,0,0,0
130,Mujeeb Ur Rahman,Kaushik,2,1,2,1,2,0,0,0,0
131,Sheldon Cottrell,Aditya,1,1,1,2,1,0,0,0,0
