,Player,Owner,Innings,Balls,Dots,Runs conceeded,Purple Cap,Best Figures,4fer,5fer
0,Nathan Coulter-Nile,Kaushik,3,71,33,95,14,30 for 5,1,2
5,Ravichandran Ashwin,Aditya,4,96,37,129,11,30 for 5,0,1
4,Kagiso Rabada,Dinesh,4,87,32,106,11,23 for 3,0,0
3,Dwayne Bravo,Sumanth,4,85,32,143,11,52 for 4,1,0
2,Lungisani Ngidi,SBK,3,64,29,82,11,21 for 5,1,1
1,Andile Phehlukwayo,Ganesh,4,75,31,96,11,22 for 3,0,0
7,Mitchell Marsh,SBK,3,66,20,96,9,36 for 4,1,0
6,Imran Tahir,Dinesh,4,96,41,130,9,41 for 4,1,0
9,Sreenath Aravind,Aditya,4,61,27,96,8,22 for 3,0,0
8,Jaydev Unadkat,Ganesh,4,96,32,158,8,45 for 3,0,0
12,Chris Morris,Dk,3,66,26,115,7,23 for 3,0,0
10,Sandeep Sharma,Dinesh,4,84,31,115,7,37 for 3,0,0
0,Keemo Paul,KB,3,60,26,68,7,31 for 3,0,0
13,Billy Stanlake,Dk,3,71,32,97,7,32 for 4,1,0
1,Lasith Malinga,Ravi,4,72,25,100,7,24 for 2,0,0
1,Rashid Khan,KB,3,64,24,85,7,32 for 4,1,0
11,David WIlley,Dk,3,63,26,82,7,36 for 4,1,0
15,Jasprit Bumrah,Aditya,4,81,18,133,6,34 for 3,0,0
16,Andrew Tye,Subhash,3,66,25,94,6,25 for 2,0,0
17,Mitchell McClenaghan,Girish,3,66,21,115,6,31 for 3,0,0
18,Mujeeb Ur Rahman,Murali,3,66,26,97,6,33 for 3,0,0
19,Mitchell Santner,Rahul,2,48,18,69,6,32 for 3,0,0
20,Shreyas Gopal,Kaushik,3,72,20,119,6,38 for 3,0,0
21,Sheldon Cottrell,Ganesh,4,79,32,109,6,16 for 2,0,0
14,Adam Zampa,Aditya,4,90,42,111,6,21 for 2,0,0
4,Shakib Al Hasan,Ravi,4,96,29,149,6,34 for 3,0,0
29,Amit Mishra,Murali,3,68,25,95,5,21 for 3,0,0
3,Mitchell Starc,KB,3,66,29,92,5,15 for 2,0,0
26,Hardus Viljoen,Chaitu,3,60,21,107,5,34 for 2,0,0
24,Dhawal Kulkarni,Ganesh,4,66,24,106,5,27 for 2,0,0
23,Deepak Chahar,Rahul,2,47,19,49,5,23 for 3,0,0
25,Bhuvneshwar Kumar,Subhash,3,68,24,103,5,32 for 3,0,0
2,Harshal Patel,KB,3,72,24,114,5,36 for 2,0,0
0,Vinay Kumar,Ravi,4,84,32,122,5,37 for 3,0,0
