batsman,balls_Faced,dots,singles,doubles,triples,fours,sixes,wickets,dot_prob,sing_prob,doub_prob,trip_prop,four_prob,six_prob,wkt_prob
Akhila Dhananjaya,5,2,2,1,0,0,0,0,0.4,0.4,0.2,0.0,0.0,0.0,0.0
Andrew Flintoff ,53,18,23,2,1,5,2,2,0.33962264150943394,0.4339622641509434,0.03773584905660377,0.018867924528301886,0.09433962264150944,0.03773584905660377,0.03773584905660377
Alex Hales,118,41,44,8,0,13,6,6,0.3474576271186441,0.3728813559322034,0.06779661016949153,0.0,0.11016949152542373,0.05084745762711865,0.05084745762711865
Alzari Joseph ,13,6,3,2,0,2,0,0,0.4615384615384616,0.2307692307692308,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0
Anil kumble,47,19,21,1,0,3,0,3,0.40425531914893614,0.44680851063829785,0.02127659574468085,0.0,0.06382978723404255,0.0,0.06382978723404255
Amit Mishra,389,130,172,22,0,29,5,31,0.3341902313624679,0.442159383033419,0.05655526992287916,0.0,0.07455012853470437,0.012853470437017995,0.07969151670951156
Abhimanyu Mithun,26,6,8,2,0,4,1,5,0.2307692307692308,0.3076923076923077,0.07692307692307693,0.0,0.15384615384615385,0.038461538461538464,0.19230769230769232
Abhinav Mukund,22,6,11,2,0,1,0,2,0.2727272727272727,0.5,0.09090909090909093,0.0,0.045454545454545456,0.0,0.09090909090909093
Aashish Nehra,62,29,21,1,0,3,1,7,0.4677419354838709,0.3387096774193548,0.016129032258064516,0.0,0.04838709677419355,0.016129032258064516,0.1129032258064516
Andrew Symonds,750,250,288,66,4,74,41,27,0.3333333333333333,0.384,0.08800000000000001,0.005333333333333333,0.09866666666666668,0.05466666666666667,0.036000000000000004
Ashton Turner,10,4,3,0,0,0,0,3,0.4,0.3,0.0,0.0,0.0,0.0,0.3
Adam Zampa,8,4,1,0,0,1,0,2,0.5,0.125,0.0,0.0,0.125,0.0,0.25
Ajit Agarkar,154,44,67,15,0,13,5,10,0.2857142857142857,0.43506493506493504,0.0974025974025974,0.0,0.08441558441558443,0.032467532467532464,0.06493506493506493
AB de Villiers,2907,783,1210,220,15,357,212,110,0.2693498452012384,0.4162366701066392,0.07567939456484347,0.0051599587203302365,0.12280701754385966,0.07292741658066736,0.03783969728242174
Ashok Dinda,48,19,16,1,0,2,0,10,0.3958333333333333,0.3333333333333333,0.02083333333333333,0.0,0.04166666666666666,0.0,0.20833333333333331
Abdur Razzak,2,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Aiden Blizzard,90,40,17,2,1,21,2,7,0.4444444444444444,0.18888888888888888,0.022222222222222227,0.011111111111111113,0.2333333333333333,0.022222222222222227,0.07777777777777778
Adam Gilchrist,1495,601,417,66,4,239,92,76,0.4020066889632107,0.27892976588628765,0.04414715719063545,0.0026755852842809363,0.15986622073578596,0.061538461538461535,0.0508361204013378
Adam Voges,143,40,61,18,2,15,3,4,0.2797202797202797,0.42657342657342656,0.1258741258741259,0.013986013986013986,0.1048951048951049,0.02097902097902098,0.02797202797202797
Angelo Mathews,575,152,267,49,3,44,29,31,0.2643478260869565,0.4643478260869565,0.08521739130434783,0.005217391304347826,0.07652173913043478,0.05043478260869565,0.05391304347826087
Andre Russell,752,229,234,31,0,96,120,42,0.3045212765957447,0.3111702127659575,0.041223404255319146,0.0,0.1276595744680851,0.1595744680851064,0.05585106382978723
Adam Milne,12,4,5,1,0,0,0,2,0.3333333333333333,0.4166666666666667,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666
Aaron Finch,1329,477,456,83,3,176,67,67,0.35891647855530473,0.3431151241534989,0.062452972159518436,0.002257336343115124,0.13243039879608728,0.05041384499623777,0.05041384499623777
Andrew Tye,70,23,22,6,1,6,4,8,0.32857142857142857,0.3142857142857143,0.08571428571428573,0.014285714285714284,0.08571428571428573,0.057142857142857134,0.11428571428571427
Abhishek Nayar.,576,185,230,47,1,55,20,38,0.3211805555555556,0.3993055555555556,0.08159722222222222,0.001736111111111111,0.0954861111111111,0.034722222222222224,0.06597222222222222
Ajinkya Rahane,3136,1023,1289,214,15,405,74,116,0.32621173469387754,0.41103316326530615,0.06823979591836735,0.004783163265306122,0.1291454081632653,0.023596938775510203,0.03698979591836735
Anirudh Singh,66,27,23,5,0,6,1,4,0.4090909090909091,0.3484848484848485,0.07575757575757576,0.0,0.09090909090909093,0.015151515151515154,0.060606060606060615
Ankit Sharma,109,27,43,9,0,11,9,10,0.24770642201834864,0.3944954128440367,0.08256880733944955,0.0,0.10091743119266056,0.08256880733944955,0.09174311926605504
Ankit Soni,9,5,1,0,0,0,1,2,0.5555555555555556,0.1111111111111111,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222
Anureet Singh,47,18,22,0,0,2,1,4,0.3829787234042553,0.4680851063829787,0.0,0.0,0.0425531914893617,0.02127659574468085,0.0851063829787234
Aditya Tare,273,106,72,19,1,40,11,24,0.3882783882783883,0.2637362637362637,0.0695970695970696,0.0036630036630036634,0.14652014652014653,0.040293040293040296,0.08791208791208792
Axar Patel,630,155,304,47,0,47,35,42,0.246031746031746,0.4825396825396826,0.0746031746031746,0.0,0.0746031746031746,0.05555555555555555,0.06666666666666668
Ankit Rajpoot,31,17,7,1,0,2,0,4,0.5483870967741935,0.2258064516129032,0.03225806451612903,0.0,0.06451612903225806,0.0,0.12903225806451613
Ambati Rayudu,2620,795,1157,154,1,278,120,115,0.3034351145038168,0.4416030534351145,0.05877862595419848,0.00038167938931297715,0.10610687022900764,0.04580152671755725,0.04389312977099236
Avesh Khan,3,2,0,0,0,1,0,0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
Azhar Mahmood,303,97,116,19,0,39,13,19,0.3201320132013201,0.3828382838283829,0.0627062706270627,0.0,0.12871287128712872,0.0429042904290429,0.0627062706270627
Balachandra Akhil,55,18,16,5,0,5,5,6,0.3272727272727273,0.2909090909090909,0.09090909090909093,0.0,0.09090909090909093,0.09090909090909093,0.10909090909090907
Bharat Chipli,251,90,100,7,4,28,7,15,0.35856573705179284,0.398406374501992,0.027888446215139442,0.01593625498007968,0.11155378486055777,0.027888446215139442,0.059760956175298814
