num,batsman,balls_Faced,dots,singles,doubles,triples,fours,sixes,wickets,dot_prob,sing_prob,doub_prob,trip_prop,four_prob,six_prob,wkt_prob
0,A Ashish Reddy,193,43,83,20,1,16,15,15,0.22279792746113988,0.43005181347150256,0.10362694300518134,0.0051813471502590676,0.08290155440414508,0.07772020725388601,0.07772020725388601
1,A Chandila,7,3,4,0,0,0,0,0,0.42857142857142855,0.5714285714285714,0.0,0.0,0.0,0.0,0.0
2,A Chopra,71,35,21,2,0,7,0,6,0.49295774647887325,0.29577464788732394,0.028169014084507043,0.0,0.09859154929577464,0.0,0.08450704225352113
3,A Choudhary,20,3,13,1,0,1,1,1,0.15,0.65,0.05,0.0,0.05,0.05,0.05
4,A Dananjaya,5,2,2,1,0,0,0,0,0.4,0.4,0.2,0.0,0.0,0.0,0.0
5,A Flintoff,53,18,23,2,1,5,2,2,0.33962264150943394,0.4339622641509434,0.03773584905660377,0.018867924528301886,0.09433962264150944,0.03773584905660377,0.03773584905660377
6,A Hales,118,41,44,8,0,13,6,6,0.3474576271186441,0.3728813559322034,0.06779661016949153,0.0,0.11016949152542373,0.05084745762711865,0.05084745762711865
7,A Joseph,13,6,3,2,0,2,0,0,0.46153846153846156,0.23076923076923078,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0
8,A Kumble,47,19,21,1,0,3,0,3,0.40425531914893614,0.44680851063829785,0.02127659574468085,0.0,0.06382978723404255,0.0,0.06382978723404255
9,A Mishra,389,130,172,22,0,29,5,31,0.3341902313624679,0.442159383033419,0.056555269922879174,0.0,0.07455012853470437,0.012853470437017995,0.07969151670951156
10,A Mithun,26,6,8,2,0,4,1,5,0.23076923076923078,0.3076923076923077,0.07692307692307693,0.0,0.15384615384615385,0.038461538461538464,0.19230769230769232
11,A Mukund,22,6,11,2,0,1,0,2,0.2727272727272727,0.5,0.09090909090909091,0.0,0.045454545454545456,0.0,0.09090909090909091
12,A Nehra,62,29,21,1,0,3,1,7,0.46774193548387094,0.3387096774193548,0.016129032258064516,0.0,0.04838709677419355,0.016129032258064516,0.11290322580645161
13,A Singh,10,4,2,0,0,0,0,4,0.4,0.2,0.0,0.0,0.0,0.0,0.4
14,A Symonds,750,250,288,66,4,74,41,27,0.3333333333333333,0.384,0.088,0.005333333333333333,0.09866666666666667,0.05466666666666667,0.036
15,A Turner,10,4,3,0,0,0,0,3,0.4,0.3,0.0,0.0,0.0,0.0,0.3
16,A Uniyal,7,2,4,0,0,0,0,1,0.2857142857142857,0.5714285714285714,0.0,0.0,0.0,0.0,0.14285714285714285
17,A Zampa,8,4,1,0,0,1,0,2,0.5,0.125,0.0,0.0,0.125,0.0,0.25
18,AA Bilakhia,85,35,31,9,0,5,0,5,0.4117647058823529,0.36470588235294116,0.10588235294117647,0.0,0.058823529411764705,0.0,0.058823529411764705
19,AA Chavan,11,3,4,0,0,2,0,2,0.2727272727272727,0.36363636363636365,0.0,0.0,0.18181818181818182,0.0,0.18181818181818182
20,AA Jhunjhunwala,210,77,82,13,1,19,5,13,0.36666666666666664,0.3904761904761905,0.06190476190476191,0.004761904761904762,0.09047619047619047,0.023809523809523808,0.06190476190476191
21,AA Noffke,10,3,5,0,0,1,0,1,0.3,0.5,0.0,0.0,0.1,0.0,0.1
22,AB Agarkar,154,44,67,15,0,13,5,10,0.2857142857142857,0.43506493506493504,0.09740259740259741,0.0,0.08441558441558442,0.032467532467532464,0.06493506493506493
23,AB Barath,42,19,14,1,0,5,1,2,0.4523809523809524,0.3333333333333333,0.023809523809523808,0.0,0.11904761904761904,0.023809523809523808,0.047619047619047616
24,AB de Villiers,2907,783,1210,220,15,357,212,110,0.2693498452012384,0.4162366701066392,0.07567939456484347,0.005159958720330237,0.12280701754385964,0.07292741658066736,0.03783969728242174
25,AB Dinda,48,19,16,1,0,2,0,10,0.3958333333333333,0.3333333333333333,0.020833333333333332,0.0,0.041666666666666664,0.0,0.20833333333333334
26,AB McDonald,100,30,42,9,1,9,4,5,0.3,0.42,0.09,0.01,0.09,0.04,0.05
27,Abdur Razzak,2,2,0,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,AC Blizzard,90,40,17,2,1,21,2,7,0.4444444444444444,0.18888888888888888,0.022222222222222223,0.011111111111111112,0.23333333333333334,0.022222222222222223,0.07777777777777778
29,AC Gilchrist,1495,601,417,66,4,239,92,76,0.4020066889632107,0.27892976588628765,0.04414715719063545,0.0026755852842809363,0.15986622073578596,0.06153846153846154,0.050836120401337795
30,AC Thomas,19,6,8,1,0,1,1,2,0.3157894736842105,0.42105263157894735,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.10526315789473684
31,AC Voges,143,40,61,18,2,15,3,4,0.27972027972027974,0.42657342657342656,0.1258741258741259,0.013986013986013986,0.1048951048951049,0.02097902097902098,0.027972027972027972
32,AD Mascarenhas,78,19,35,9,0,5,1,9,0.24358974358974358,0.44871794871794873,0.11538461538461539,0.0,0.0641025641025641,0.01282051282051282,0.11538461538461539
33,AD Mathews,575,152,267,49,3,44,29,31,0.2643478260869565,0.4643478260869565,0.08521739130434783,0.0052173913043478265,0.07652173913043478,0.050434782608695654,0.05391304347826087
34,AD Nath,98,34,40,5,0,7,2,10,0.3469387755102041,0.40816326530612246,0.05102040816326531,0.0,0.07142857142857142,0.02040816326530612,0.10204081632653061
35,AD Russell,752,229,234,31,0,96,120,42,0.3045212765957447,0.31117021276595747,0.041223404255319146,0.0,0.1276595744680851,0.1595744680851064,0.05585106382978723
36,AF Milne,12,4,5,1,0,0,0,2,0.3333333333333333,0.4166666666666667,0.08333333333333333,0.0,0.0,0.0,0.16666666666666666
37,AG Murtaza,14,6,6,0,0,1,0,1,0.42857142857142855,0.42857142857142855,0.0,0.0,0.07142857142857142,0.0,0.07142857142857142
38,AG Paunikar,58,33,9,2,0,9,0,5,0.5689655172413793,0.15517241379310345,0.034482758620689655,0.0,0.15517241379310345,0.0,0.08620689655172414
39,AJ Finch,1329,477,456,83,3,176,67,67,0.35891647855530473,0.3431151241534989,0.062452972159518436,0.002257336343115124,0.13243039879608728,0.05041384499623777,0.05041384499623777
40,AJ Tye,70,23,22,6,1,6,4,8,0.32857142857142857,0.3142857142857143,0.08571428571428572,0.014285714285714285,0.08571428571428572,0.05714285714285714,0.11428571428571428
41,AL Menaria,356,120,149,24,0,24,18,21,0.33707865168539325,0.41853932584269665,0.06741573033707865,0.0,0.06741573033707865,0.05056179775280899,0.05898876404494382
42,AM Nayar,576,185,230,47,1,55,20,38,0.3211805555555556,0.3993055555555556,0.08159722222222222,0.001736111111111111,0.0954861111111111,0.034722222222222224,0.06597222222222222
43,AM Rahane,3136,1023,1289,214,15,405,74,116,0.32621173469387754,0.41103316326530615,0.06823979591836735,0.0047831632653061226,0.1291454081632653,0.023596938775510203,0.036989795918367346
44,AN Ahmed,26,9,8,3,0,4,1,1,0.34615384615384615,0.3076923076923077,0.11538461538461539,0.0,0.15384615384615385,0.038461538461538464,0.038461538461538464
45,AN Ghosh,8,3,1,1,0,1,0,2,0.375,0.125,0.125,0.0,0.125,0.0,0.25
46,Anirudh Singh,66,27,23,5,0,6,1,4,0.4090909090909091,0.3484848484848485,0.07575757575757576,0.0,0.09090909090909091,0.015151515151515152,0.06060606060606061
