bowler,dots_conc,singles_conc,doubles_conc,triples_conc,fours_conc,sixes_conc,wickets_conc,balls_bowled,dot_conc_prob,sing_conc_prob,doub_conc_prob,trip_conc_prob,four_conc_prob,six_conc_prob,wkt_conc_prob
Akhila Dhananjaya,6,11,2,0,2,4,0,25,0.24,0.44,0.08,0.0,0.08,0.16,0.0
Andrew Flintoff,18,27,4,0,7,7,2,65,0.2769230769230769,0.4153846153846154,0.061538461538461535,0.0,0.1076923076923077,0.1076923076923077,0.030769230769230767
Alzari Joseph,17,13,2,0,10,5,6,53,0.3207547169811321,0.2452830188679245,0.03773584905660377,0.0,0.18867924528301888,0.09433962264150944,0.11320754716981132
Anil kumble,329,411,62,3,71,35,45,956,0.34414225941422594,0.4299163179916318,0.06485355648535565,0.0031380753138075318,0.07426778242677824,0.03661087866108786,0.04707112970711297
Amit Mishra,952,1395,241,6,216,169,156,3135,0.3036682615629984,0.4449760765550239,0.07687400318979266,0.0019138755980861247,0.06889952153110047,0.05390749601275917,0.049760765550239235
Abhimanyu Mithun,83,133,20,1,41,20,7,305,0.2721311475409836,0.4360655737704918,0.06557377049180327,0.003278688524590164,0.13442622950819672,0.06557377049180327,0.022950819672131147
Aashish Nehra,692,675,107,7,277,75,106,1939,0.3568849922640536,0.3481175863847344,0.055183084063950484,0.0036101083032490976,0.14285714285714285,0.03867973182052605,0.054667354306343466
Andrew Symonds,170,218,37,1,44,33,20,523,0.32504780114722753,0.4168260038240918,0.07074569789674952,0.0019120458891013386,0.0841300191204589,0.06309751434034416,0.03824091778202677
Adam Zampa,51,109,16,0,12,14,19,221,0.2307692307692308,0.4932126696832579,0.07239819004524888,0.0,0.05429864253393665,0.06334841628959276,0.08597285067873303
Ajit Agarkar,225,341,47,4,113,40,29,799,0.2816020025031289,0.4267834793491865,0.05882352941176471,0.0050062578222778474,0.1414267834793492,0.050062578222778466,0.03629536921151439
Ashok Dinda,558,536,102,6,230,56,69,1557,0.3583815028901734,0.3442517662170841,0.06551059730250483,0.0038535645472061657,0.14771997430956968,0.035966602440590884,0.044315992292870914
Abdur Razzak,5,3,1,0,2,1,0,12,0.4166666666666667,0.25,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.0
Adam Gilchrist,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Adam Voges,15,30,1,0,8,2,0,56,0.26785714285714285,0.5357142857142857,0.017857142857142856,0.0,0.14285714285714285,0.03571428571428571,0.0
Angelo Mathews,197,379,62,0,98,29,27,792,0.2487373737373737,0.4785353535353536,0.07828282828282829,0.0,0.12373737373737374,0.036616161616161616,0.03409090909090909
Andre Russell,307,406,66,4,153,61,55,1052,0.29182509505703425,0.3859315589353613,0.06273764258555133,0.0038022813688212928,0.14543726235741444,0.057984790874524725,0.05228136882129278
Adam Milne,28,44,7,0,21,5,4,109,0.2568807339449541,0.4036697247706422,0.06422018348623854,0.0,0.1926605504587156,0.045871559633027525,0.03669724770642202
Aaron Finch,12,19,4,0,4,4,1,44,0.2727272727272727,0.4318181818181818,0.09090909090909093,0.0,0.09090909090909093,0.09090909090909093,0.022727272727272728
Andrew Tye,143,278,44,1,73,26,39,604,0.2367549668874172,0.4602649006622517,0.0728476821192053,0.0016556291390728475,0.12086092715231787,0.04304635761589404,0.06456953642384106
