num,bowler,dots,singles,doubles,triples,fours,sixes,wickets,balls_bowled,dot_prob,sing_prob,doub_prob,trip_prop,four_prob,six_prob,wkt_prob
0,PP Chawla,951,1298,237,9,303,171,149,3118,0.30500320718409235,0.41629249518922384,0.07601026298909558,0.0028864656831302116,0.09717767799871713,0.05484284797947402,0.04778704297626684
1,A Mishra,952,1395,241,6,216,169,156,3135,0.3036682615629984,0.4449760765550239,0.07687400318979266,0.0019138755980861245,0.06889952153110047,0.05390749601275917,0.049760765550239235
2,Harbhajan Singh,1094,1519,190,15,289,142,150,3399,0.32185937040305973,0.44689614592527216,0.055898793762871435,0.00441306266548985,0.08502500735510445,0.041776993233303916,0.0441306266548985
3,DJ Bravo,678,1184,219,6,289,133,147,2656,0.2552710843373494,0.4457831325301205,0.08245481927710843,0.002259036144578313,0.10881024096385543,0.050075301204819275,0.055346385542168676
4,RA Jadeja,706,1155,193,7,198,131,108,2498,0.28262610088070456,0.4623698959167334,0.07726180944755805,0.0028022417934347476,0.07926341072858287,0.05244195356285028,0.04323458767013611
5,R Ashwin,942,1401,174,9,199,121,125,2971,0.3170649612924941,0.47155839784584314,0.05856613934702121,0.0030292830696735107,0.06698081454055874,0.040727027936721644,0.04207337596768765
6,YS Chahal,539,789,121,6,135,119,100,1809,0.2979546710889994,0.4361525704809287,0.06688778330569375,0.003316749585406302,0.07462686567164178,0.06578220011055833,0.055279159756771695
7,UT Yadav,822,929,152,15,381,111,119,2529,0.3250296559905101,0.36733886911822855,0.060102807433768286,0.005931198102016607,0.1506524317912218,0.04389086595492289,0.04705417160933175
8,P Kumar,985,862,160,18,339,104,90,2558,0.38506645817044566,0.33698201720093823,0.06254886630179828,0.007036747458952306,0.1325254104769351,0.040656763096168884,0.035183737294761534
9,PP Ojha,578,848,133,7,146,96,89,1897,0.3046916183447549,0.4470216130732736,0.07011070110701106,0.0036900369003690036,0.07696362677912494,0.050606220347917764,0.04691618344754876
10,R Vinay Kumar,658,796,176,9,294,96,105,2134,0.3083411433926898,0.37300843486410495,0.08247422680412371,0.004217432052483599,0.13776944704779756,0.04498594189315839,0.04920337394564199
11,JD Unadkat,429,617,102,9,191,95,77,1520,0.2822368421052632,0.40592105263157896,0.06710526315789474,0.0059210526315789476,0.1256578947368421,0.0625,0.0506578947368421
12,SP Narine,916,1018,176,6,220,92,122,2550,0.3592156862745098,0.3992156862745098,0.06901960784313725,0.002352941176470588,0.08627450980392157,0.03607843137254902,0.04784313725490196
13,AR Patel,489,811,109,3,138,89,71,1710,0.28596491228070176,0.47426900584795323,0.06374269005847953,0.0017543859649122807,0.08070175438596491,0.052046783625730994,0.04152046783625731
14,B Kumar,983,918,179,11,322,87,133,2633,0.37333839726547663,0.3486517280668439,0.06798328902392708,0.004177744018230156,0.1222939612609191,0.03304215723509305,0.050512723129510065
15,SL Malinga,974,1144,199,7,312,85,170,2891,0.3369076444136977,0.3957108267035628,0.0688343133863715,0.002421307506053269,0.10792113455551712,0.02940159114493255,0.0588031822898651
16,IK Pathan,755,731,116,4,293,82,80,2061,0.366327025715672,0.3546821931101407,0.056283357593401265,0.0019408054342552159,0.14216399805919458,0.039786511402231925,0.038816108685104316
17,KV Sharma,326,477,74,4,79,82,54,1096,0.29744525547445255,0.4352189781021898,0.06751824817518248,0.0036496350364963502,0.07208029197080291,0.07481751824817519,0.04927007299270073
18,Imran Tahir,327,567,84,3,94,79,79,1233,0.26520681265206814,0.45985401459854014,0.0681265206812652,0.0024330900243309003,0.07623682076236821,0.0640713706407137,0.0640713706407137
19,DS Kulkarni,643,614,107,10,266,77,86,1803,0.35662784248474766,0.3405435385468663,0.059345535219079315,0.005546311702717693,0.14753189129229063,0.04270660011092623,0.04769828064337216
20,MM Sharma,545,648,122,8,260,77,91,1751,0.31125071387778414,0.37007424328954885,0.06967447173043975,0.004568817818389492,0.14848657909765847,0.04397487150199886,0.051970302684180465
