crr_ran,total_Score_range,total,dot,sing,doub,triple,four,six,wicket,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob
>13,130 to 140,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
>13,210 to 220,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
>13,220 to 230,1,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
>13,240 to 250,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
>13,90 to 100,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10 to 11,220 to 230,2,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.5,0.0,0.5
12 to 13,170 to 180,2,0,0,0,0,1,1,0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
12 to 13,180 to 190,2,0,1,0,0,0,1,0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
>13,160 to 170,3,0,0,1,0,2,0,0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0
>13,190 to 200,3,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
>13,230 to 240,3,0,1,0,0,2,0,0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0
7 to 7.5,150 to 160,3,0,0,1,0,1,0,1,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333
9.5 to 10,200 to 210,3,0,1,0,0,1,0,1,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
>13,100 to 110,4,0,0,0,0,1,3,0,0.0,0.0,0.0,0.0,0.25,0.75,0.0
>13,140 to 150,4,1,0,0,0,0,2,1,0.25,0.0,0.0,0.0,0.0,0.5,0.25
>13,170 to 180,4,0,1,0,0,3,0,0,0.0,0.25,0.0,0.0,0.75,0.0,0.0
12 to 13,110 to 120,4,2,0,1,0,0,1,0,0.5,0.0,0.25,0.0,0.0,0.25,0.0
>13,150 to 160,5,1,1,1,0,0,1,1,0.2,0.2,0.2,0.0,0.0,0.2,0.2
>13,180 to 190,5,0,2,2,0,1,0,0,0.0,0.4,0.4,0.0,0.2,0.0,0.0
>13,200 to 210,5,1,2,1,0,1,0,0,0.2,0.4,0.2,0.0,0.2,0.0,0.0
>13,250 to 260,5,0,2,0,0,0,2,1,0.0,0.4,0.0,0.0,0.0,0.4,0.2
>13,260 to 270,5,0,2,1,0,0,0,2,0.0,0.4,0.2,0.0,0.0,0.0,0.4
8.5 to 9,180 to 190,5,0,3,0,0,1,1,0,0.0,0.6,0.0,0.0,0.2,0.2,0.0
9 to 9.5,190 to 200,5,0,2,1,0,0,0,2,0.0,0.4,0.2,0.0,0.0,0.0,0.4
12 to 13,100 to 110,6,1,2,2,0,0,1,0,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.16666666666666666,0.0
6 to 7,140 to 150,6,0,2,2,0,1,0,1,0.0,0.3333333333333333,0.3333333333333333,0.0,0.16666666666666666,0.0,0.16666666666666666
8 to 8.5,170 to 180,6,1,1,0,0,0,2,2,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333
>13,80 to 90,8,2,4,0,0,0,2,0,0.25,0.5,0.0,0.0,0.0,0.25,0.0
12 to 13,160 to 170,8,1,3,0,0,1,2,1,0.125,0.375,0.0,0.0,0.125,0.25,0.125
9.5 to 10,0 to 10,8,1,2,1,0,2,1,1,0.125,0.25,0.125,0.0,0.25,0.125,0.125
>13,110 to 120,9,1,4,1,0,1,2,0,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.0,0.1111111111111111,0.2222222222222222,0.0
12 to 13,130 to 140,9,0,4,0,0,2,2,1,0.0,0.4444444444444444,0.0,0.0,0.2222222222222222,0.2222222222222222,0.1111111111111111
12 to 13,150 to 160,9,2,7,0,0,0,0,0,0.2222222222222222,0.7777777777777778,0.0,0.0,0.0,0.0,0.0
12 to 13,240 to 250,11,0,1,1,0,1,4,4,0.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,0.36363636363636365,0.36363636363636365
12 to 13,140 to 150,12,3,4,1,0,1,2,1,0.25,0.3333333333333333,0.08333333333333333,0.0,0.08333333333333333,0.16666666666666666,0.08333333333333333
12 to 13,210 to 220,12,0,5,0,0,4,2,1,0.0,0.4166666666666667,0.0,0.0,0.3333333333333333,0.16666666666666666,0.08333333333333333
12 to 13,190 to 200,13,2,6,0,0,1,4,0,0.15384615384615385,0.46153846153846156,0.0,0.0,0.07692307692307693,0.3076923076923077,0.0
12 to 13,200 to 210,13,1,7,0,0,2,2,1,0.07692307692307693,0.5384615384615384,0.0,0.0,0.15384615384615385,0.15384615384615385,0.07692307692307693
>13,120 to 130,14,2,8,0,0,1,3,0,0.14285714285714285,0.5714285714285714,0.0,0.0,0.07142857142857142,0.21428571428571427,0.0
12 to 13,230 to 240,14,1,4,3,0,3,2,1,0.07142857142857142,0.2857142857142857,0.21428571428571427,0.0,0.21428571428571427,0.14285714285714285,0.07142857142857142
7.5 to 8,160 to 170,14,1,8,0,0,1,1,3,0.07142857142857142,0.5714285714285714,0.0,0.0,0.07142857142857142,0.07142857142857142,0.21428571428571427
11 to 12,230 to 240,15,1,6,0,0,2,4,2,0.06666666666666667,0.4,0.0,0.0,0.13333333333333333,0.26666666666666666,0.13333333333333333
12 to 13,220 to 230,17,3,8,1,0,3,2,0,0.17647058823529413,0.47058823529411764,0.058823529411764705,0.0,0.17647058823529413,0.11764705882352941,0.0
7 to 7.5,0 to 10,17,3,3,3,1,4,1,2,0.17647058823529413,0.17647058823529413,0.17647058823529413,0.058823529411764705,0.23529411764705882,0.058823529411764705,0.11764705882352941
9 to 9.5,0 to 10,18,4,5,3,1,3,1,1,0.2222222222222222,0.2777777777777778,0.16666666666666666,0.05555555555555555,0.16666666666666666,0.05555555555555555,0.05555555555555555
12 to 13,80 to 90,19,4,5,2,0,7,1,0,0.21052631578947367,0.2631578947368421,0.10526315789473684,0.0,0.3684210526315789,0.05263157894736842,0.0
12 to 13,0 to 10,20,3,3,4,1,6,2,1,0.15,0.15,0.2,0.05,0.3,0.1,0.05
8 to 8.5,0 to 10,20,5,3,3,2,6,0,1,0.25,0.15,0.15,0.1,0.3,0.0,0.05
7.5 to 8,0 to 10,21,6,3,3,0,7,2,0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,0.3333333333333333,0.09523809523809523,0.0
12 to 13,120 to 130,22,8,10,1,0,0,2,1,0.36363636363636365,0.45454545454545453,0.045454545454545456,0.0,0.0,0.09090909090909091,0.045454545454545456
10 to 11,0 to 10,23,4,4,3,2,6,2,2,0.17391304347826086,0.17391304347826086,0.13043478260869565,0.08695652173913043,0.2608695652173913,0.08695652173913043,0.08695652173913043
11 to 12,140 to 150,23,1,15,2,0,2,2,1,0.043478260869565216,0.6521739130434783,0.08695652173913043,0.0,0.08695652173913043,0.08695652173913043,0.043478260869565216
>13,70 to 80,25,9,5,1,0,9,1,0,0.36,0.2,0.04,0.0,0.36,0.04,0.0
11 to 12,130 to 140,25,5,9,2,0,5,3,1,0.2,0.36,0.08,0.0,0.2,0.12,0.04
9.5 to 10,10 to 20,25,6,7,2,0,8,2,0,0.24,0.28,0.08,0.0,0.32,0.08,0.0
11 to 12,10 to 20,26,6,5,4,0,6,3,2,0.23076923076923078,0.19230769230769232,0.15384615384615385,0.0,0.23076923076923078,0.11538461538461539,0.07692307692307693
12 to 13,90 to 100,26,6,8,3,0,4,4,1,0.23076923076923078,0.3076923076923077,0.11538461538461539,0.0,0.15384615384615385,0.15384615384615385,0.038461538461538464
>13,60 to 70,28,8,4,4,1,8,1,2,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.03571428571428571,0.2857142857142857,0.03571428571428571,0.07142857142857142
