crr_ran,over,wickets_fell,total_Score_range,dot,sing,doub,triple,four,six,wicket,total,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob
>13,1,0,0 to 10,2,2,2,2,10,4,0,22,0.090909091,0.090909091,0.090909091,0.090909091,0.454545455,0.181818182,0
>13,1,0,10 to 20,4,7,2,1,13,12,0,39,0.102564103,0.179487179,0.051282051,0.025641026,0.333333333,0.307692308,0
>13,1,0,20 to 30,1,0,2,0,2,4,0,9,0.111111111,0,0.222222222,0,0.222222222,0.444444444,0
>13,1,1,0 to 10,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
>13,1,0,10 to 20,0,1,0,0,0,1,1,3,0,0.333333333,0,0,0,0.333333333,0.333333333
>13,2,0,10 to 20,2,1,0,0,2,0,0,5,0.4,0.2,0,0,0.4,0,0
>13,2,0,20 to 30,2,5,0,0,2,5,0,14,0.142857143,0.357142857,0,0,0.142857143,0.357142857,0
>13,2,0,30 to 40,3,3,1,0,7,0,0,14,0.214285714,0.214285714,0.071428571,0,0.5,0,0
>13,2,0,20 to 30,5,1,0,0,3,0,4,13,0.384615385,0.076923077,0,0,0.230769231,0,0.307692308
>13,2,0,30 to 40,0,1,0,1,1,0,1,4,0,0.25,0,0.25,0.25,0,0.25
>13,2,1,20 to 30,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
>13,2,1,30 to 40,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
>13,2,2,30 to 40,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
>13,3,0,30 to 40,1,0,0,0,2,2,0,5,0.2,0,0,0,0.4,0.4,0
>13,3,0,40 to 50,3,2,0,0,6,3,0,14,0.214285714,0.142857143,0,0,0.428571429,0.214285714,0
>13,3,0,50 to 60,1,0,0,0,1,0,0,2,0.5,0,0,0,0.5,0,0
>13,3,0,30 to 40,1,0,0,0,0,0,1,2,0.5,0,0,0,0,0,0.5
>13,3,0,40 to 50,1,2,0,0,2,0,1,6,0.166666667,0.333333333,0,0,0.333333333,0,0.166666667
>13,3,3,30 to 40,0,1,1,0,0,0,0,2,0,0.5,0.5,0,0,0,0
>13,3,3,40 to 50,0,0,1,0,1,0,0,2,0,0,0.5,0,0.5,0,0
>13,3,3,40 to 50,0,1,0,0,0,0,1,2,0,0.5,0,0,0,0,0.5
>13,4,0,40 to 50,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
>13,4,0,50 to 60,3,0,0,0,2,2,0,7,0.428571429,0,0,0,0.285714286,0.285714286,0
>13,4,0,60 to 70,0,1,2,0,1,0,0,4,0,0.25,0.5,0,0.25,0,0
>13,4,4,50 to 60,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
>13,5,0,60 to 70,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
>13,5,0,60 to 70,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
>13,5,1,70 to 80,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0 to 5,1,0,0 to 10,27,21,10,2,3,0,0,63,0.428571429,0.333333333,0.158730159,0.031746032,0.047619048,0,0
0 to 5,1,0,0 to 10,24,14,6,0,1,0,20,65,0.369230769,0.215384615,0.092307692,0,0.015384615,0,0.307692308
0 to 5,1,1,0 to 10,9,4,0,0,1,0,8,22,0.409090909,0.181818182,0,0,0.045454545,0,0.363636364
0 to 5,2,0,0 to 10,57,41,19,5,19,7,0,148,0.385135135,0.277027027,0.128378378,0.033783784,0.128378378,0.047297297,0
0 to 5,2,0,10 to 20,0,1,0,0,2,0,0,3,0,0.333333333,0,0,0.666666667,0,0
0 to 5,2,0,0 to 10,50,38,9,2,11,2,33,145,0.344827586,0.262068966,0.062068966,0.013793103,0.075862069,0.013793103,0.227586207
0 to 5,2,1,10 to 20,2,0,0,0,1,0,0,3,0.666666667,0,0,0,0.333333333,0,0
0 to 5,2,1,0 to 10,40,21,8,0,5,2,13,89,0.449438202,0.235955056,0.08988764,0,0.056179775,0.02247191,0.146067416
0 to 5,2,2,10 to 20,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
0 to 5,2,2,0 to 10,1,0,0,0,0,0,2,3,0.333333333,0,0,0,0,0,0.666666667
0 to 5,3,0,0 to 10,36,27,3,0,8,0,0,74,0.486486486,0.364864865,0.040540541,0,0.108108108,0,0
0 to 5,3,0,10 to 20,23,22,9,2,11,4,0,71,0.323943662,0.309859155,0.126760563,0.028169014,0.154929577,0.056338028,0
0 to 5,3,0,0 to 10,50,31,7,0,10,0,12,110,0.454545455,0.281818182,0.063636364,0,0.090909091,0,0.109090909
0 to 5,3,0,10 to 20,25,22,9,4,16,5,10,91,0.274725275,0.241758242,0.098901099,0.043956044,0.175824176,0.054945055,0.10989011
0 to 5,3,1,0 to 10,33,9,4,2,3,0,7,58,0.568965517,0.155172414,0.068965517,0.034482759,0.051724138,0,0.120689655
0 to 5,3,1,10 to 20,22,14,3,0,6,1,5,51,0.431372549,0.274509804,0.058823529,0,0.117647059,0.019607843,0.098039216
0 to 5,3,2,0 to 10,7,1,0,0,0,0,3,11,0.636363636,0.090909091,0,0,0,0,0.272727273
