player,balls_Faced,dots,singles,doubles,triples,fours,sixes,wickets,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob,dots_conc,singles_conc,doubles_conc,triples_conc,fours_conc,sixes_conc,wickets_conc,balls_bowled,dot_conc_prob,sing_conc_prob,doub_conc_prob,trip_conc_prob,four_conc_prob,six_conc_prob,wkt_conc_prob
Akhila Dhananjaya,5,2,2,1,0,0,0,0,0.4,0.4,0.2,0,0,0,0,6,11,2,0,2,4,0,25,0.24,0.44,0.08,0,0.08,0.16,0.0
Andrew Flintoff,53,18,23,2,1,5,2,2,0.33962264150943394,0.4339622641509434,0.03773584905660377,0.018867924528301886,0.09433962264150944,0.03773584905660377,0.03773584905660377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Alex Hales,118,41,44,8,0,13,6,6,0.3474576271186441,0.3728813559322034,0.06779661016949153,0,0.11016949152542373,0.05084745762711865,0.05084745762711865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Alzari Joseph,13,6,3,2,0,2,0,0,0.46153846153846156,0.23076923076923078,0.15384615384615385,0,0.15384615384615385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Anil kumble,47,19,21,1,0,3,0,3,0.40425531914893614,0.44680851063829785,0.02127659574468085,0,0.06382978723404255,0,0.06382978723404255,329,411,62,3,71,35,45,956,0.34414225941422594,0.4299163179916318,0.06485355648535565,0.0031380753138075313,0.07426778242677824,0.036610878661087864,0.04707112970711297
Amit Mishra,389,130,172,22,0,29,5,31,0.3341902313624679,0.442159383033419,0.056555269922879174,0,0.07455012853470437,0.012853470437017995,0.07969151670951156,952,1395,241,6,216,169,156,3135,0.3036682615629984,0.4449760765550239,0.07687400318979266,0.0019138755980861245,0.06889952153110047,0.05390749601275917,0.049760765550239235
Abhimanyu Mithun,26,6,8,2,0,4,1,5,0.23076923076923078,0.3076923076923077,0.07692307692307693,0,0.15384615384615385,0.038461538461538464,0.19230769230769232,83,133,20,1,41,20,7,305,0.2721311475409836,0.4360655737704918,0.06557377049180328,0.003278688524590164,0.13442622950819672,0.06557377049180328,0.022950819672131147
Abhinav Mukund,22,6,11,2,0,1,0,2,0.2727272727272727,0.5,0.09090909090909091,0,0.045454545454545456,0,0.09090909090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
Aashish Nehra,62,29,21,1,0,3,1,7,0.46774193548387094,0.3387096774193548,0.016129032258064516,0,0.04838709677419355,0.016129032258064516,0.11290322580645161,692,675,107,7,277,75,106,1939,0.3568849922640536,0.3481175863847344,0.05518308406395049,0.0036101083032490976,0.14285714285714285,0.038679731820526045,0.05466735430634347
Andrew Symonds,750,250,288,66,4,74,41,27,0.3333333333333333,0.384,0.088,0.005333333333333333,0.09866666666666667,0.05466666666666667,0.036,170,218,37,1,44,33,20,523,0.32504780114722753,0.4168260038240918,0.07074569789674952,0.0019120458891013384,0.0841300191204589,0.06309751434034416,0.03824091778202677
