over,wickets_fell,total,dot,sing,doub,triple,four,six,wicket,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob
5,0,1454,398,402,142,19,305,129,59,0.2737276478679505,0.2764786795048143,0.09766162310866575,0.013067400275103164,0.2097661623108666,0.08872077028885832,0.0405777166437414
4,0,1435,420,382,123,15,297,117,81,0.2926829268292683,0.2662020905923345,0.08571428571428572,0.010452961672473868,0.2069686411149826,0.08153310104529617,0.05644599303135889
6,0,1327,372,387,102,7,289,120,50,0.2803315749811605,0.29163526752072344,0.07686510926902788,0.0052750565184626974,0.21778447626224567,0.0904295403165034,0.037678975131876416
3,0,1290,362,321,124,28,279,100,76,0.2806201550387597,0.24883720930232558,0.09612403100775194,0.021705426356589147,0.21627906976744185,0.07751937984496124,0.05891472868217054
7,0,1121,318,419,114,8,158,63,41,0.2836752899197145,0.37377341659232827,0.1016949152542373,0.007136485280999108,0.1409455842997324,0.056199821587867974,0.036574487065120426
2,0,1008,275,246,102,31,200,81,73,0.2728174603174603,0.24404761904761904,0.10119047619047619,0.030753968253968252,0.1984126984126984,0.08035714285714286,0.07242063492063493
9,1,979,278,362,99,1,123,61,55,0.2839632277834525,0.36976506639427986,0.10112359550561797,0.0010214504596527069,0.12563840653728295,0.06230847803881512,0.056179775280898875
14,2,968,220,378,116,5,132,71,46,0.22727272727272727,0.390495867768595,0.11983471074380166,0.005165289256198347,0.13636363636363635,0.07334710743801653,0.047520661157024795
12,1,967,238,362,99,4,139,83,42,0.24612202688728024,0.37435367114788004,0.10237849017580145,0.004136504653567736,0.1437435367114788,0.08583247156153051,0.04343329886246122
8,1,947,282,355,80,6,119,56,49,0.29778247096092925,0.37486800422386485,0.08447729672650475,0.006335797254487857,0.12565997888067582,0.059134107708553325,0.05174234424498416
15,2,936,212,356,98,8,139,75,48,0.2264957264957265,0.3803418803418803,0.1047008547008547,0.008547008547008548,0.1485042735042735,0.08012820512820513,0.05128205128205128
10,1,932,262,341,99,6,133,59,32,0.2811158798283262,0.36587982832618027,0.10622317596566523,0.006437768240343348,0.1427038626609442,0.06330472103004292,0.034334763948497854
16,2,926,190,379,105,6,112,86,48,0.20518358531317496,0.40928725701943847,0.11339092872570194,0.0064794816414686825,0.12095032397408208,0.09287257019438445,0.05183585313174946
13,1,916,230,351,96,4,119,86,30,0.25109170305676853,0.38318777292576417,0.10480349344978165,0.004366812227074236,0.1299126637554585,0.09388646288209607,0.03275109170305677
8,0,913,253,337,92,1,149,58,23,0.27710843373493976,0.36911281489594744,0.10076670317634173,0.001095290251916758,0.16319824753559695,0.06352683461117196,0.025191675794085433
19,4,902,170,346,105,1,123,90,67,0.188470066518847,0.3835920177383592,0.1164079822616408,0.0011086474501108647,0.13636363636363635,0.09977827050997783,0.07427937915742794
14,1,888,194,343,104,0,131,80,36,0.21846846846846846,0.38626126126126126,0.11711711711711711,0.0,0.14752252252252251,0.09009009009009009,0.04054054054054054
17,2,863,161,341,100,3,128,86,44,0.186558516801854,0.3951332560834299,0.11587485515643106,0.0034762456546929316,0.14831981460023175,0.0996523754345307,0.05098493626882966
15,3,855,215,328,94,2,102,46,68,0.25146198830409355,0.38362573099415204,0.10994152046783626,0.0023391812865497076,0.11929824561403508,0.05380116959064327,0.07953216374269007
16,3,850,209,316,99,2,96,65,63,0.24588235294117647,0.37176470588235294,0.11647058823529412,0.002352941176470588,0.11294117647058824,0.07647058823529412,0.07411764705882352
18,4,831,151,325,99,1,106,69,80,0.18170878459687123,0.3910950661853189,0.11913357400722022,0.0012033694344163659,0.12755716004813478,0.08303249097472924,0.09626955475330927
9,0,823,196,343,77,3,127,60,17,0.23815309842041313,0.41676792223572295,0.09356014580801944,0.0036452004860267314,0.1543134872417983,0.07290400972053462,0.020656136087484813
11,1,819,198,319,95,3,105,60,39,0.24175824175824176,0.3894993894993895,0.115995115995116,0.003663003663003663,0.1282051282051282,0.07326007326007326,0.047619047619047616
17,3,813,171,292,93,1,123,74,59,0.21033210332103322,0.3591635916359164,0.11439114391143912,0.0012300123001230013,0.15129151291512916,0.0910209102091021,0.07257072570725707
18,3,813,157,290,105,6,108,79,68,0.1931119311193112,0.35670356703567035,0.12915129151291513,0.007380073800738007,0.13284132841328414,0.0971709717097171,0.08364083640836409
13,2,803,212,294,89,2,97,54,55,0.2640099626400996,0.36612702366127026,0.11083437110834371,0.0024906600249066002,0.12079701120797011,0.06724782067247821,0.0684931506849315
11,2,796,229,306,82,5,93,34,47,0.2876884422110553,0.3844221105527638,0.10301507537688442,0.00628140703517588,0.11683417085427136,0.04271356783919598,0.059045226130653265
6,1,780,250,230,55,5,134,40,66,0.32051282051282054,0.2948717948717949,0.07051282051282051,0.00641025641025641,0.1717948717948718,0.05128205128205128,0.08461538461538462
18,2,770,106,298,94,5,131,101,35,0.13766233766233765,0.38701298701298703,0.12207792207792208,0.006493506493506494,0.17012987012987013,0.13116883116883116,0.045454545454545456
19,3,766,115,286,98,5,124,95,43,0.15013054830287206,0.3733681462140992,0.1279373368146214,0.006527415143603133,0.1618798955613577,0.12402088772845953,0.05613577023498695
12,2,762,205,300,74,4,97,36,46,0.2690288713910761,0.3937007874015748,0.09711286089238845,0.005249343832020997,0.1272965879265092,0.047244094488188976,0.06036745406824147
17,4,740,162,280,76,3,96,50,73,0.21891891891891893,0.3783783783783784,0.10270270270270271,0.004054054054054054,0.12972972972972974,0.06756756756756757,0.09864864864864865
20,4,724,83,248,104,7,114,91,77,0.11464088397790055,0.3425414364640884,0.143646408839779,0.009668508287292817,0.1574585635359116,0.12569060773480664,0.106353591160221
10,2,717,219,286,74,4,68,23,43,0.3054393305439331,0.398884239888424,0.10320781032078104,0.005578800557880056,0.09483960948396095,0.03207810320781032,0.0599721059972106
11,0,710,166,280,73,2,105,61,23,0.23380281690140844,0.39436619718309857,0.1028169014084507,0.0028169014084507044,0.14788732394366197,0.08591549295774648,0.0323943661971831
7,1,704,214,264,65,3,92,21,45,0.3039772727272727,0.375,0.09232954545454546,0.004261363636363636,0.13068181818181818,0.029829545454545456,0.06392045454545454
19,5,703,127,266,77,2,76,65,90,0.1806543385490754,0.3783783783783784,0.10953058321479374,0.002844950213371266,0.10810810810810811,0.09246088193456614,0.12802275960170698
10,0,701,168,292,77,1,92,59,12,0.2396576319543509,0.4165477888730385,0.10984308131241084,0.0014265335235378032,0.1312410841654779,0.08416547788873038,0.017118402282453638
20,5,697,88,234,93,8,95,79,100,0.12625538020086083,0.3357245337159254,0.133428981348637,0.011477761836441894,0.13629842180774748,0.1133428981348637,0.14347202295552366
20,3,675,76,240,95,10,108,93,53,0.11259259259259259,0.35555555555555557,0.14074074074074075,0.014814814814814815,0.16,0.13777777777777778,0.07851851851851852
15,1,657,123,253,69,1,109,81,21,0.1872146118721461,0.3850837138508371,0.1050228310502283,0.0015220700152207,0.1659056316590563,0.1232876712328767,0.0319634703196347
14,3,652,188,249,53,5,67,36,54,0.2883435582822086,0.38190184049079756,0.08128834355828221,0.007668711656441718,0.10276073619631902,0.05521472392638037,0.08282208588957055
16,1,613,101,255,65,3,103,67,19,0.16476345840130505,0.4159869494290375,0.10603588907014681,0.004893964110929853,0.16802610114192496,0.10929853181076672,0.03099510603588907
20,6,610,91,189,80,4,77,54,115,0.14918032786885246,0.30983606557377047,0.13114754098360656,0.006557377049180328,0.12622950819672132,0.08852459016393442,0.1885245901639344
13,3,603,175,275,55,0,41,20,37,0.2902155887230514,0.4560530679933665,0.0912106135986733,0.0,0.06799336650082918,0.03316749585406302,0.06135986733001658
18,5,600,138,241,45,1,70,28,77,0.23,0.40166666666666667,0.075,0.0016666666666666668,0.11666666666666667,0.04666666666666667,0.12833333333333333
9,2,598,189,215,55,2,55,22,60,0.31605351170568563,0.3595317725752508,0.09197324414715718,0.0033444816053511705,0.09197324414715718,0.03678929765886288,0.10033444816053512
16,4,579,144,248,53,2,59,25,48,0.24870466321243523,0.4283246977547496,0.09153713298791019,0.0034542314335060447,0.10189982728842832,0.04317789291882556,0.08290155440414508
5,1,558,185,154,35,3,109,15,57,0.33154121863799285,0.27598566308243727,0.06272401433691756,0.005376344086021506,0.1953405017921147,0.026881720430107527,0.10215053763440861
12,3,548,163,219,44,1,62,19,40,0.29744525547445255,0.39963503649635035,0.08029197080291971,0.0018248175182481751,0.11313868613138686,0.03467153284671533,0.072992700729927
8,2,521,178,204,33,6,47,15,38,0.3416506717850288,0.3915547024952015,0.06333973128598848,0.011516314779270634,0.09021113243761997,0.028790786948176585,0.07293666026871401
19,2,509,78,192,71,5,88,53,22,0.15324165029469547,0.37721021611001965,0.13948919449901767,0.009823182711198428,0.17288801571709234,0.10412573673870335,0.043222003929273084
11,3,464,155,183,40,1,37,13,35,0.33405172413793105,0.39439655172413796,0.08620689655172414,0.0021551724137931034,0.07974137931034483,0.028017241379310345,0.07543103448275862
1,0,457,115,99,59,16,91,41,36,0.25164113785557984,0.21663019693654267,0.12910284463894967,0.0350109409190372,0.19912472647702406,0.08971553610503283,0.0787746170678337
17,1,454,73,181,51,3,72,61,13,0.16079295154185022,0.3986784140969163,0.11233480176211454,0.006607929515418502,0.15859030837004406,0.1343612334801762,0.028634361233480177
19,6,448,77,168,50,2,52,28,71,0.171875,0.375,0.11160714285714286,0.004464285714285714,0.11607142857142858,0.0625,0.15848214285714285
12,0,445,96,188,49,4,63,35,10,0.2157303370786517,0.42247191011235957,0.1101123595505618,0.008988764044943821,0.14157303370786517,0.07865168539325842,0.02247191011235955
15,4,443,121,198,32,1,36,14,41,0.27313769751693,0.4469525959367946,0.07223476297968397,0.002257336343115124,0.08126410835214447,0.03160270880361174,0.09255079006772009
20,7,436,58,153,41,4,49,27,104,0.13302752293577982,0.35091743119266056,0.09403669724770643,0.009174311926605505,0.11238532110091744,0.06192660550458716,0.23853211009174313
