over,wickets_fell,total,dot,sing,doub,triple,four,six,wicket
1,0,3176,1431,971,165,15,521,58,0
2,0,3125,1363,953,142,17,533,107,0
3,0,2380,891,779,111,10,450,130,0
4,1,1903,714,596,95,10,330,72,84
4,0,1802,648,587,108,9,334,105,0
5,1,1781,674,594,65,9,300,86,52
3,1,1722,720,502,85,8,231,52,117
6,1,1590,574,554,77,5,258,71,48
7,1,1515,446,759,106,3,121,39,40
8,1,1424,380,717,97,6,151,42,29
5,0,1401,514,493,59,8,246,73,0
9,2,1356,401,631,89,6,126,53,49
10,2,1271,353,626,87,2,118,35,49
8,2,1266,360,626,79,6,96,41,57
7,2,1262,418,585,60,7,109,41,41
9,1,1225,312,623,76,3,132,55,21
2,1,1199,513,309,43,9,162,19,139
6,2,1193,484,378,38,4,178,36,69
11,2,1184,306,567,95,3,112,51,48
12,3,1182,315,568,83,4,107,57,47
11,3,1143,356,512,84,0,103,27,61
13,3,1118,292,520,96,3,102,64,39
6,0,1110,386,361,56,4,231,69,0
12,2,1110,295,552,74,5,106,43,35
14,3,1103,305,517,74,5,103,55,44
10,3,1062,326,484,66,6,96,24,57
10,1,1059,275,522,90,2,112,40,17
13,2,1023,290,472,82,4,96,55,24
5,2,1001,400,297,41,7,135,30,90
15,3,996,254,473,82,2,102,48,35
16,4,956,219,431,96,1,95,56,58
15,4,926,240,417,72,2,85,59,51
9,3,905,277,405,60,4,80,22,53
11,1,898,236,437,72,1,86,48,14
17,4,894,179,420,78,4,110,61,41
14,4,893,237,399,75,3,77,56,44
13,4,892,237,412,68,4,68,44,56
14,2,891,213,425,79,5,104,39,24
7,0,869,280,403,50,4,89,40,0
16,3,859,182,411,86,2,92,52,34
8,3,823,239,396,65,4,52,20,46
18,4,791,145,364,72,4,91,72,40
17,5,758,157,356,50,2,93,45,54
12,4,757,194,372,49,1,66,29,46
17,3,755,159,346,82,1,82,50,31
15,2,740,195,345,65,1,85,37,12
18,5,729,126,332,62,3,91,57,55
16,5,722,151,346,59,4,58,52,50
4,2,715,299,200,29,6,91,19,70
12,1,691,159,353,63,1,66,37,11
15,5,672,176,293,55,4,60,37,46
7,3,657,244,270,42,4,40,8,46
8,0,634,194,310,35,1,58,33,0
19,6,633,114,265,74,1,57,51,68
19,5,607,95,237,81,6,70,70,45
11,4,603,175,273,39,3,38,26,49
16,2,583,123,275,53,3,75,45,8
18,6,583,99,254,60,4,63,47,56
18,3,568,119,245,52,2,78,54,16
13,1,550,126,273,50,2,58,31,7
14,5,538,157,238,28,1,45,23,45
19,4,535,81,252,64,2,63,47,24
1,1,528,204,104,13,3,57,3,143
17,6,525,108,222,49,1,54,39,52
6,3,523,223,163,14,2,70,13,33
9,0,476,128,226,32,1,65,24,0
10,4,462,145,212,23,0,29,16,37
20,7,455,87,165,63,2,43,29,65
19,7,439,87,203,34,0,38,22,55
13,5,437,124,188,32,2,35,20,35
18,7,425,95,183,29,0,39,23,56
20,6,416,66,155,59,1,61,41,32
3,2,414,182,95,24,4,45,9,55
14,1,408,99,189,36,0,44,32,8
9,4,407,135,195,23,2,18,8,25
17,2,403,92,194,34,1,52,21,5
16,6,379,77,176,22,1,34,23,45
19,8,373,92,153,26,1,32,18,51
20,8,372,99,124,25,0,42,23,57
5,3,363,146,112,15,0,30,12,48
20,9,361,98,117,28,1,30,19,68
12,5,355,95,180,17,1,23,10,29
10,0,353,93,180,30,0,30,19,0
19,3,329,58,162,35,4,41,20,8
17,7,322,82,158,16,0,25,12,29
15,6,311,86,136,23,0,28,12,26
15,1,302,61,150,27,0,44,17,1
20,5,301,29,121,34,2,51,37,25
8,4,298,100,123,20,0,21,8,26
11,5,289,87,119,16,2,33,14,18
14,6,277,78,128,14,1,21,8,27
16,7,265,84,110,21,0,13,12,25
11,0,249,50,138,13,0,31,17,0
18,2,237,49,105,17,0,35,26,4
18,8,230,66,84,15,1,14,9,41
7,4,227,83,87,12,3,16,8,18
16,1,216,46,103,26,1,21,17,1
20,4,214,27,88,28,1,36,25,8
19,9,210,72,83,11,2,6,4,32
2,2,205,95,41,6,1,17,0,45
10,5,204,79,73,12,2,11,2,25
4,3,194,81,48,7,0,31,2,25
13,6,188,58,84,12,0,9,5,20
12,0,170,30,87,16,1,26,9,0
15,7,168,45,72,8,2,12,4,25
17,8,164,65,60,6,0,8,6,18
6,4,155,67,44,4,0,14,3,23
17,1,146,29,68,13,2,24,8,1
9,5,120,50,48,4,1,5,1,11
12,6,119,42,44,3,0,11,2,16
13,0,111,20,58,12,0,14,6,0
18,9,111,44,31,5,0,6,1,23
20,3,106,15,46,14,0,14,14,3
16,8,104,40,38,2,0,4,4,16
19,2,104,18,42,7,0,25,8,4
3,3,93,43,23,5,0,8,0,14
14,7,91,33,36,5,0,5,0,12
18,1,90,18,40,14,0,14,4,0
11,6,84,30,32,5,0,5,3,9
15,8,76,39,25,2,0,2,2,6
8,5,74,28,24,3,0,5,0,13
14,0,74,17,39,5,0,10,3,0
13,7,69,16,36,5,0,3,1,8
10,6,65,18,33,2,0,5,1,6
5,4,55,34,9,0,0,3,0,9
12,7,55,22,20,3,0,3,1,6
14,8,55,21,21,2,0,2,1,8
9,6,47,17,19,3,0,1,2,5
7,5,44,19,13,2,0,4,0,6
15,9,42,18,18,1,0,3,0,2
17,9,42,16,10,0,0,3,1,12
15,0,37,5,16,6,1,7,2,0
13,8,36,17,10,1,0,2,2,4
16,9,36,10,14,1,0,4,1,6
14,9,34,9,12,2,0,3,2,5
19,1,33,8,11,5,0,7,2,0
8,6,32,14,7,1,0,5,0,5
20,10,32,0,0,0,0,0,0,32
11,7,31,13,9,1,0,2,0,6
12,8,23,7,10,1,0,1,0,4
2,3,22,6,8,0,0,0,1,7
10,7,22,5,15,0,0,1,0,1
16,0,22,2,12,4,0,3,1,0
1,2,21,7,1,1,0,1,0,11
13,9,21,7,11,0,0,0,0,3
19,10,20,0,0,0,0,0,0,20
6,5,18,9,5,0,0,0,0,4
20,2,18,2,7,4,0,3,2,0
4,4,15,7,4,0,1,0,0,3
12,9,13,4,5,2,0,1,1,0
7,6,12,5,3,2,0,0,0,2
9,7,12,5,2,0,0,1,0,4
17,0,12,4,5,0,0,2,1,0
3,4,11,7,1,0,0,1,0,2
10,8,9,2,4,0,0,1,1,1
5,6,8,2,4,0,0,2,0,0
11,8,8,3,3,0,0,0,1,1
18,0,8,0,6,1,0,0,1,0
9,8,7,3,0,1,0,1,0,2
17,10,7,0,0,0,0,0,0,7
18,10,7,0,0,0,0,0,0,7
6,6,6,3,2,0,0,1,0,0
11,9,6,3,1,0,0,0,0,2
4,5,5,2,1,0,0,1,0,1
5,5,5,3,1,0,0,0,0,1
8,7,4,2,1,0,0,0,0,1
16,10,4,0,0,0,0,0,0,4
10,9,3,1,1,0,0,0,0,1
2,4,2,1,0,0,0,0,0,1
14,10,2,0,0,0,0,0,0,2
4,6,1,0,0,0,0,0,0,1
10,10,1,0,0,0,0,0,0,1
13,10,1,0,0,0,0,0,0,1
15,10,1,0,0,0,0,0,0,1
19,0,1,0,1,0,0,0,0,0
