player,actual_name
A Ashish Reddy,NULL
A Chandila,NULL
A Chopra,NULL
A Choudhary,NULL
A Dananjaya,Akhila Dhananjaya
A Flintoff,Andrew Flintoff 
A Hales,Alex Hales
A Joseph,Alzari Joseph 
A Kumble,Anil kumble
A Mishra,Amit Mishra
A Mithun,Abhimanyu Mithun
A Mukund,Abhinav Mukund
A Nehra,Aashish Nehra
A Nel,NULL
A Roy,NULL
A Singh,NULL
A Symonds,Andrew Symonds
A Turner,Ashton Turner
A Uniyal,NULL
A Zampa,Adam Zampa
AA Bilakhia,NULL
AA Chavan,NULL
AA Jhunjhunwala,NULL
AA Kazi,NULL
AA Noffke,NULL
AB Agarkar,Ajit Agarkar
AB Barath,NULL
AB de Villiers,AB de Villiers
AB Dinda,Ashok Dinda
AB McDonald,NULL
Abdur Razzak,Abdur Razzak
AC Blizzard,Aiden Blizzard
AC Gilchrist,Adam Gilchrist
AC Thomas,NULL
AC Voges,Adam Voges
AD Mascarenhas,NULL
AD Mathews,Angelo Mathews
AD Nath,NULL
AD Russell,Andre Russell
AF Milne,Adam Milne
AG Murtaza,NULL
AG Paunikar,NULL
AJ Finch,Aaron Finch
AJ Tye,Andrew Tye
AL Menaria,NULL
AM Nayar,Abhishek Nayar.
AM Rahane,Ajinkya Rahane
AM Salvi,NULL
AN Ahmed,NULL
AN Ghosh,NULL
Anand Rajan,Anand Rajan
Anirudh Singh,Anirudh Singh
Ankit Sharma,Ankit Sharma
Ankit Soni,Ankit Soni
Anureet Singh,Anureet Singh
AP Dole,NULL
AP Majumdar,NULL
AP Tare,Aditya Tare
AR Bawne,NULL
AR Patel,Axar Patel
AS Rajpoot,Ankit Rajpoot
AS Raut,NULL
AT Rayudu,Ambati Rayudu
AUK Pathan,NULL
Avesh Khan,Avesh Khan
Azhar Mahmood,Azhar Mahmood
B Akhil,Balachandra Akhil
B Chipli,Bharat Chipli
B Geeves,Brett Geeves
B Kumar,Bhuvneshwar Kumar
B Laughlin,Ben Laughlin
B Lee,Brett Lee
B Stanlake,Billy Stanlake
B Sumanth,Bodapati Sumanth
BA Bhatt,Bhargav Bhatt
BA Stokes,Ben Stokes
Basil Thampi,Basil Thampi
BAW Mendis,Ajantha Mendis
BB McCullum,Brendon McCullum
BB Samantray,Biplab Samantray
BB Sran,Barinder Sran
BCJ Cutting,Ben Cutting
BE Hendricks,Beuran Hendricks
Bipul Sharma,Bipul Sharma
