rrr_ran,total_Score_range,total,dot,sing,doub,triple,four,six,wicket,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob
12 to 13,210 to 220,1,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10 to 11,200 to 210,2,0,1,0,0,1,0,0,0.0,0.5,0.0,0.0,0.5,0.0,0.0
12 to 13,200 to 210,2,1,1,0,0,0,0,0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
9 to 9.5,190 to 200,2,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.5,0.0,0.5
9 to 9.5,200 to 210,2,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
0 to 5,210 to 220,3,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10 to 11,190 to 200,3,0,2,1,0,0,0,0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0
11 to 12,200 to 210,3,0,1,0,0,1,0,1,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333
8 to 8.5,190 to 200,3,0,0,0,0,1,1,1,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
9.5 to 10,190 to 200,3,0,2,0,0,0,0,0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
8.5 to 9,180 to 190,4,0,1,2,0,1,0,0,0.0,0.25,0.5,0.0,0.25,0.0,0.0
7.5 to 8,180 to 190,6,0,3,1,0,1,0,1,0.0,0.5,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666
9.5 to 10,170 to 180,6,1,3,0,1,1,0,0,0.16666666666666666,0.5,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0
9.5 to 10,180 to 190,6,0,4,1,0,0,0,1,0.0,0.6666666666666666,0.16666666666666666,0.0,0.0,0.0,0.16666666666666666
11 to 12,180 to 190,7,1,2,0,0,1,2,1,0.14285714285714285,0.2857142857142857,0.0,0.0,0.14285714285714285,0.2857142857142857,0.14285714285714285
12 to 13,190 to 200,9,2,2,2,0,1,1,0,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.0,0.1111111111111111,0.1111111111111111,0.0
>13,220 to 230,10,4,4,0,0,1,1,0,0.4,0.4,0.0,0.0,0.1,0.1,0.0
10 to 11,180 to 190,10,0,3,1,0,2,1,3,0.0,0.3,0.1,0.0,0.2,0.1,0.3
11 to 12,170 to 180,10,2,4,2,0,1,0,1,0.2,0.4,0.2,0.0,0.1,0.0,0.1
5 to 6,190 to 200,11,2,6,1,0,1,1,0,0.18181818181818182,0.5454545454545454,0.09090909090909091,0.0,0.09090909090909091,0.09090909090909091,0.0
7 to 7.5,180 to 190,11,1,7,1,0,0,2,0,0.09090909090909091,0.6363636363636364,0.09090909090909091,0.0,0.0,0.18181818181818182,0.0
8.5 to 9,170 to 180,14,3,5,2,0,2,0,2,0.21428571428571427,0.35714285714285715,0.14285714285714285,0.0,0.14285714285714285,0.0,0.14285714285714285
9 to 9.5,180 to 190,15,5,6,1,0,3,0,0,0.3333333333333333,0.4,0.06666666666666667,0.0,0.2,0.0,0.0
>13,210 to 220,17,4,7,2,0,2,0,2,0.23529411764705882,0.4117647058823529,0.11764705882352941,0.0,0.11764705882352941,0.0,0.11764705882352941
8 to 8.5,180 to 190,17,1,6,3,0,2,3,2,0.058823529411764705,0.35294117647058826,0.17647058823529413,0.0,0.11764705882352941,0.17647058823529413,0.11764705882352941
12 to 13,180 to 190,18,2,4,2,0,2,5,3,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.2777777777777778,0.16666666666666666
6 to 7,190 to 200,18,4,6,2,0,6,0,0,0.2222222222222222,0.3333333333333333,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0
7 to 7.5,170 to 180,19,4,5,3,0,3,1,3,0.21052631578947367,0.2631578947368421,0.15789473684210525,0.0,0.15789473684210525,0.05263157894736842,0.15789473684210525
9.5 to 10,160 to 170,19,0,9,3,0,4,0,3,0.0,0.47368421052631576,0.15789473684210525,0.0,0.21052631578947367,0.0,0.15789473684210525
0 to 5,200 to 210,21,0,8,0,0,7,6,0,0.0,0.38095238095238093,0.0,0.0,0.3333333333333333,0.2857142857142857,0.0
5 to 6,180 to 190,22,8,7,3,0,1,3,0,0.36363636363636365,0.3181818181818182,0.13636363636363635,0.0,0.045454545454545456,0.13636363636363635,0.0
>13,0 to 10,23,15,3,1,0,2,0,2,0.6521739130434783,0.13043478260869565,0.043478260869565216,0.0,0.08695652173913043,0.0,0.08695652173913043
9 to 9.5,170 to 180,23,5,9,5,0,0,2,2,0.21739130434782608,0.391304347826087,0.21739130434782608,0.0,0.0,0.08695652173913043,0.08695652173913043
10 to 11,170 to 180,24,2,8,5,0,1,5,2,0.08333333333333333,0.3333333333333333,0.20833333333333334,0.0,0.041666666666666664,0.20833333333333334,0.08333333333333333
6 to 7,180 to 190,25,5,8,3,1,4,3,1,0.2,0.32,0.12,0.04,0.16,0.12,0.04
8 to 8.5,170 to 180,25,5,11,4,0,2,3,0,0.2,0.44,0.16,0.0,0.08,0.12,0.0
12 to 13,170 to 180,29,4,9,4,0,4,8,0,0.13793103448275862,0.3103448275862069,0.13793103448275862,0.0,0.13793103448275862,0.27586206896551724,0.0
>13,10 to 20,30,13,10,2,0,4,0,1,0.43333333333333335,0.3333333333333333,0.06666666666666667,0.0,0.13333333333333333,0.0,0.03333333333333333
7.5 to 8,170 to 180,30,1,19,2,0,5,2,1,0.03333333333333333,0.6333333333333333,0.06666666666666667,0.0,0.16666666666666666,0.06666666666666667,0.03333333333333333
8.5 to 9,160 to 170,32,3,14,5,0,5,3,2,0.09375,0.4375,0.15625,0.0,0.15625,0.09375,0.0625
5 to 6,170 to 180,33,6,18,1,0,2,2,4,0.18181818181818182,0.5454545454545454,0.030303030303030304,0.0,0.06060606060606061,0.06060606060606061,0.12121212121212122
7 to 7.5,160 to 170,36,7,16,6,0,5,2,0,0.19444444444444445,0.4444444444444444,0.16666666666666666,0.0,0.1388888888888889,0.05555555555555555,0.0
7.5 to 8,160 to 170,37,5,14,5,1,8,0,4,0.13513513513513514,0.3783783783783784,0.13513513513513514,0.02702702702702703,0.21621621621621623,0.0,0.10810810810810811
8 to 8.5,160 to 170,37,4,17,5,0,5,3,3,0.10810810810810811,0.4594594594594595,0.13513513513513514,0.0,0.13513513513513514,0.08108108108108109,0.08108108108108109
11 to 12,160 to 170,40,8,16,5,0,3,6,2,0.2,0.4,0.125,0.0,0.075,0.15,0.05
9 to 9.5,160 to 170,40,9,14,6,0,2,4,5,0.225,0.35,0.15,0.0,0.05,0.1,0.125
>13,200 to 210,46,7,19,5,1,4,5,5,0.15217391304347827,0.41304347826086957,0.10869565217391304,0.021739130434782608,0.08695652173913043,0.10869565217391304,0.10869565217391304
10 to 11,160 to 170,47,4,22,4,0,7,7,3,0.0851063829787234,0.46808510638297873,0.0851063829787234,0.0,0.14893617021276595,0.14893617021276595,0.06382978723404255
0 to 5,190 to 200,50,4,15,7,0,12,12,0,0.08,0.3,0.14,0.0,0.24,0.24,0.0
8.5 to 9,150 to 160,50,9,19,4,0,10,5,3,0.18,0.38,0.08,0.0,0.2,0.1,0.06
11 to 12,150 to 160,52,12,18,6,1,7,4,3,0.23076923076923078,0.34615384615384615,0.11538461538461539,0.019230769230769232,0.1346153846153846,0.07692307692307693,0.057692307692307696
5 to 6,160 to 170,54,10,19,6,1,10,4,4,0.18518518518518517,0.35185185185185186,0.1111111111111111,0.018518518518518517,0.18518518518518517,0.07407407407407407,0.07407407407407407
8 to 8.5,150 to 160,54,7,21,6,0,11,6,2,0.12962962962962962,0.3888888888888889,0.1111111111111111,0.0,0.2037037037037037,0.1111111111111111,0.037037037037037035
7.5 to 8,150 to 160,57,11,26,6,0,7,3,4,0.19298245614035087,0.45614035087719296,0.10526315789473684,0.0,0.12280701754385964,0.05263157894736842,0.07017543859649122
12 to 13,0 to 10,60,33,17,3,0,3,1,3,0.55,0.2833333333333333,0.05,0.0,0.05,0.016666666666666666,0.05
6 to 7,170 to 180,61,3,31,5,1,12,4,5,0.04918032786885246,0.5081967213114754,0.08196721311475409,0.01639344262295082,0.19672131147540983,0.06557377049180328,0.08196721311475409
7 to 7.5,150 to 160,61,12,30,9,0,6,3,1,0.19672131147540983,0.4918032786885246,0.14754098360655737,0.0,0.09836065573770492,0.04918032786885246,0.01639344262295082
9 to 9.5,150 to 160,62,6,20,11,0,10,10,4,0.0967741935483871,0.3225806451612903,0.1774193548387097,0.0,0.16129032258064516,0.16129032258064516,0.06451612903225806
12 to 13,160 to 170,64,6,34,4,1,7,6,6,0.09375,0.53125,0.0625,0.015625,0.109375,0.09375,0.09375
9.5 to 10,150 to 160,65,9,29,8,0,6,8,5,0.13846153846153847,0.4461538461538462,0.12307692307692308,0.0,0.09230769230769231,0.12307692307692308,0.07692307692307693
7.5 to 8,140 to 150,72,12,36,6,1,11,5,1,0.16666666666666666,0.5,0.08333333333333333,0.013888888888888888,0.1527777777777778,0.06944444444444445,0.013888888888888888
8 to 8.5,140 to 150,76,8,38,9,0,12,5,4,0.10526315789473684,0.5,0.11842105263157894,0.0,0.15789473684210525,0.06578947368421052,0.05263157894736842
8.5 to 9,140 to 150,81,9,35,9,0,16,7,5,0.1111111111111111,0.43209876543209874,0.1111111111111111,0.0,0.19753086419753085,0.08641975308641975,0.06172839506172839
12 to 13,10 to 20,85,40,26,5,0,9,4,1,0.47058823529411764,0.3058823529411765,0.058823529411764705,0.0,0.10588235294117647,0.047058823529411764,0.011764705882352941
10 to 11,150 to 160,88,16,37,14,0,11,4,6,0.18181818181818182,0.42045454545454547,0.1590909090909091,0.0,0.125,0.045454545454545456,0.06818181818181818
9.5 to 10,140 to 150,89,13,44,9,0,10,6,7,0.14606741573033707,0.4943820224719101,0.10112359550561797,0.0,0.11235955056179775,0.06741573033707865,0.07865168539325842
12 to 13,150 to 160,90,11,35,8,0,19,10,7,0.12222222222222222,0.3888888888888889,0.08888888888888889,0.0,0.2111111111111111,0.1111111111111111,0.07777777777777778
9.5 to 10,130 to 140,90,17,39,9,1,9,8,7,0.18888888888888888,0.43333333333333335,0.1,0.011111111111111112,0.1,0.08888888888888889,0.07777777777777778
>13,20 to 30,92,48,26,2,0,11,1,4,0.5217391304347826,0.2826086956521739,0.021739130434782608,0.0,0.11956521739130435,0.010869565217391304,0.043478260869565216
7 to 7.5,140 to 150,92,18,51,4,0,7,8,4,0.1956521739130435,0.5543478260869565,0.043478260869565216,0.0,0.07608695652173914,0.08695652173913043,0.043478260869565216
7.5 to 8,130 to 140,93,17,36,10,1,17,8,3,0.1827956989247312,0.3870967741935484,0.10752688172043011,0.010752688172043012,0.1827956989247312,0.08602150537634409,0.03225806451612903
8.5 to 9,130 to 140,99,22,45,8,0,12,6,6,0.2222222222222222,0.45454545454545453,0.08080808080808081,0.0,0.12121212121212122,0.06060606060606061,0.06060606060606061
5 to 6,150 to 160,100,23,45,6,1,8,15,2,0.23,0.45,0.06,0.01,0.08,0.15,0.02
12 to 13,30 to 40,110,41,42,5,0,14,1,7,0.37272727272727274,0.38181818181818183,0.045454545454545456,0.0,0.12727272727272726,0.00909090909090909,0.06363636363636363
5 to 6,140 to 150,111,28,39,13,0,19,7,4,0.25225225225225223,0.35135135135135137,0.11711711711711711,0.0,0.17117117117117117,0.06306306306306306,0.036036036036036036
0 to 5,180 to 190,114,8,31,10,1,34,25,5,0.07017543859649122,0.2719298245614035,0.08771929824561403,0.008771929824561403,0.2982456140350877,0.21929824561403508,0.043859649122807015
11 to 12,140 to 150,116,16,48,12,0,15,14,11,0.13793103448275862,0.41379310344827586,0.10344827586206896,0.0,0.12931034482758622,0.1206896551724138,0.09482758620689655
>13,190 to 200,118,18,48,10,0,14,12,14,0.15254237288135594,0.4067796610169492,0.0847457627118644,0.0,0.11864406779661017,0.1016949152542373,0.11864406779661017
12 to 13,20 to 30,119,43,47,2,0,13,2,12,0.36134453781512604,0.3949579831932773,0.01680672268907563,0.0,0.1092436974789916,0.01680672268907563,0.10084033613445378
9 to 9.5,140 to 150,121,18,66,8,0,14,9,6,0.1487603305785124,0.5454545454545454,0.06611570247933884,0.0,0.11570247933884298,0.0743801652892562,0.049586776859504134
7 to 7.5,130 to 140,124,15,60,13,0,20,9,6,0.12096774193548387,0.4838709677419355,0.10483870967741936,0.0,0.16129032258064516,0.07258064516129033,0.04838709677419355
11 to 12,130 to 140,125,25,44,16,0,14,15,10,0.2,0.352,0.128,0.0,0.112,0.12,0.08
12 to 13,140 to 150,134,20,59,8,0,17,15,15,0.14925373134328357,0.44029850746268656,0.05970149253731343,0.0,0.12686567164179105,0.11194029850746269,0.11194029850746269
8 to 8.5,130 to 140,134,23,59,16,0,17,12,7,0.17164179104477612,0.44029850746268656,0.11940298507462686,0.0,0.12686567164179105,0.08955223880597014,0.05223880597014925
9 to 9.5,130 to 140,134,26,61,14,0,19,5,9,0.19402985074626866,0.4552238805970149,0.1044776119402985,0.0,0.1417910447761194,0.03731343283582089,0.06716417910447761
6 to 7,160 to 170,135,26,67,7,1,17,9,7,0.1925925925925926,0.4962962962962963,0.05185185185185185,0.007407407407407408,0.1259259259259259,0.06666666666666667,0.05185185185185185
7 to 7.5,120 to 130,135,29,55,14,0,16,16,5,0.21481481481481482,0.4074074074074074,0.1037037037037037,0.0,0.11851851851851852,0.11851851851851852,0.037037037037037035
7.5 to 8,120 to 130,136,32,68,8,1,15,9,3,0.23529411764705882,0.5,0.058823529411764705,0.007352941176470588,0.11029411764705882,0.0661764705882353,0.022058823529411766
>13,30 to 40,143,56,53,4,0,13,3,13,0.3916083916083916,0.3706293706293706,0.027972027972027972,0.0,0.09090909090909091,0.02097902097902098,0.09090909090909091
12 to 13,40 to 50,143,51,65,7,1,9,2,8,0.35664335664335667,0.45454545454545453,0.04895104895104895,0.006993006993006993,0.06293706293706294,0.013986013986013986,0.055944055944055944
9.5 to 10,120 to 130,143,30,79,12,0,12,6,4,0.2097902097902098,0.5524475524475524,0.08391608391608392,0.0,0.08391608391608392,0.04195804195804196,0.027972027972027972
10 to 11,140 to 150,152,18,67,18,0,14,14,21,0.11842105263157894,0.4407894736842105,0.11842105263157894,0.0,0.09210526315789473,0.09210526315789473,0.13815789473684212
7 to 7.5,110 to 120,163,44,75,12,1,19,5,7,0.26993865030674846,0.4601226993865031,0.0736196319018405,0.006134969325153374,0.1165644171779141,0.03067484662576687,0.04294478527607362
0 to 5,0 to 10,167,86,40,11,1,19,4,6,0.5149700598802395,0.23952095808383234,0.0658682634730539,0.005988023952095809,0.11377245508982035,0.023952095808383235,0.03592814371257485
0 to 5,10 to 20,169,68,58,9,0,31,3,0,0.40236686390532544,0.3431952662721893,0.05325443786982249,0.0,0.1834319526627219,0.01775147928994083,0.0
10 to 11,130 to 140,170,25,78,23,1,13,15,15,0.14705882352941177,0.4588235294117647,0.13529411764705881,0.0058823529411764705,0.07647058823529412,0.08823529411764706,0.08823529411764706
8.5 to 9,120 to 130,170,47,76,16,0,12,10,9,0.27647058823529413,0.4470588235294118,0.09411764705882353,0.0,0.07058823529411765,0.058823529411764705,0.052941176470588235
6 to 7,150 to 160,175,36,80,18,1,11,15,14,0.2057142857142857,0.45714285714285713,0.10285714285714286,0.005714285714285714,0.06285714285714286,0.08571428571428572,0.08
6 to 7,140 to 150,179,34,72,19,0,17,26,11,0.18994413407821228,0.4022346368715084,0.10614525139664804,0.0,0.09497206703910614,0.1452513966480447,0.061452513966480445
0 to 5,20 to 30,180,61,57,10,0,37,10,5,0.3388888888888889,0.31666666666666665,0.05555555555555555,0.0,0.20555555555555555,0.05555555555555555,0.027777777777777776
6 to 7,130 to 140,182,43,70,16,1,31,15,6,0.23626373626373626,0.38461538461538464,0.08791208791208792,0.005494505494505495,0.17032967032967034,0.08241758241758242,0.03296703296703297
0 to 5,170 to 180,187,30,57,15,0,44,35,6,0.16042780748663102,0.3048128342245989,0.08021390374331551,0.0,0.23529411764705882,0.18716577540106952,0.03208556149732621
5 to 6,130 to 140,187,44,86,18,2,19,5,11,0.23529411764705882,0.45989304812834225,0.0962566844919786,0.0106951871657754,0.10160427807486631,0.026737967914438502,0.058823529411764705
9 to 9.5,120 to 130,192,45,73,21,0,26,9,17,0.234375,0.3802083333333333,0.109375,0.0,0.13541666666666666,0.046875,0.08854166666666667
7.5 to 8,110 to 120,194,52,83,19,2,19,10,9,0.26804123711340205,0.42783505154639173,0.0979381443298969,0.010309278350515464,0.0979381443298969,0.05154639175257732,0.04639175257731959
>13,180 to 190,196,37,75,25,0,22,19,18,0.18877551020408162,0.3826530612244898,0.12755102040816327,0.0,0.11224489795918367,0.09693877551020408,0.09183673469387756
11 to 12,0 to 10,203,108,57,6,1,18,1,11,0.5320197044334976,0.28078817733990147,0.029556650246305417,0.0049261083743842365,0.08866995073891626,0.0049261083743842365,0.054187192118226604
>13,40 to 50,204,71,88,7,0,16,6,15,0.3480392156862745,0.43137254901960786,0.03431372549019608,0.0,0.0784313725490196,0.029411764705882353,0.07352941176470588
8 to 8.5,120 to 130,207,44,98,17,0,22,22,4,0.21256038647342995,0.47342995169082125,0.0821256038647343,0.0,0.10628019323671498,0.10628019323671498,0.01932367149758454
8 to 8.5,110 to 120,208,48,88,17,0,29,18,8,0.23076923076923078,0.4230769230769231,0.08173076923076923,0.0,0.13942307692307693,0.08653846153846154,0.038461538461538464
12 to 13,130 to 140,211,32,105,24,1,18,20,11,0.15165876777251186,0.4976303317535545,0.11374407582938388,0.004739336492890996,0.08530805687203792,0.0947867298578199,0.052132701421800945
