rrr_ran,total_Score_range,over,wickets_fell,dot,sing,doub,triple,four,six,wicket,total,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob
>13,0 to 10,1,0,1,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
>13,0 to 10,1,1,1,1,0,0,2,0,1,5,0.2,0.2,0.0,0.0,0.4,0.0,0.2
>13,0 to 10,2,0,1,1,0,0,0,0,0,2,0.5,0.5,0.0,0.0,0.0,0.0,0.0
>13,0 to 10,2,1,6,0,0,0,0,0,1,7,0.8571428571428571,0.0,0.0,0.0,0.0,0.0,0.14285714285714285
>13,0 to 10,3,1,4,0,0,0,0,0,0,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0
>13,0 to 10,4,1,2,1,1,0,0,0,0,4,0.5,0.25,0.25,0.0,0.0,0.0,0.0
>13,10 to 20,2,1,0,2,0,0,0,0,0,2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
>13,10 to 20,3,0,3,1,0,0,0,0,0,4,0.75,0.25,0.0,0.0,0.0,0.0,0.0
>13,10 to 20,3,1,5,2,2,0,2,0,0,11,0.45454545454545453,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0
>13,10 to 20,4,1,2,2,0,0,2,0,0,6,0.3333333333333333,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
>13,10 to 20,4,2,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
>13,10 to 20,5,2,3,3,0,0,0,0,0,6,0.5,0.5,0.0,0.0,0.0,0.0,0.0
>13,100 to 110,10,1,1,1,0,0,0,0,0,2,0.5,0.5,0.0,0.0,0.0,0.0,0.0
>13,100 to 110,10,2,0,0,0,0,2,0,0,2,0.0,0.0,0.0,0.0,1.0,0.0,0.0
>13,100 to 110,10,4,0,1,0,0,1,0,0,2,0.0,0.5,0.0,0.0,0.5,0.0,0.0
>13,100 to 110,11,2,1,4,0,0,1,0,0,6,0.16666666666666666,0.6666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0
>13,100 to 110,11,4,2,4,0,0,0,0,0,6,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
>13,100 to 110,11,5,0,1,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
>13,100 to 110,12,2,1,4,0,0,1,3,0,9,0.1111111111111111,0.4444444444444444,0.0,0.0,0.1111111111111111,0.3333333333333333,0.0
>13,100 to 110,12,3,0,4,0,0,2,1,0,7,0.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0.14285714285714285,0.0
>13,100 to 110,12,4,4,13,0,0,1,1,1,20,0.2,0.65,0.0,0.0,0.05,0.05,0.05
>13,100 to 110,12,5,1,1,1,0,1,1,1,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
>13,100 to 110,12,6,1,0,0,0,0,0,1,2,0.5,0.0,0.0,0.0,0.0,0.0,0.5
>13,100 to 110,12,8,0,3,0,0,0,0,0,3,0.0,1.0,0.0,0.0,0.0,0.0,0.0
>13,100 to 110,13,2,0,4,1,0,1,0,0,6,0.0,0.6666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0
>13,100 to 110,13,3,2,8,2,0,3,2,0,17,0.11764705882352941,0.47058823529411764,0.11764705882352941,0.0,0.17647058823529413,0.11764705882352941,0.0
>13,100 to 110,13,4,10,31,4,0,0,5,2,52,0.19230769230769232,0.5961538461538461,0.07692307692307693,0.0,0.0,0.09615384615384616,0.038461538461538464
>13,100 to 110,13,5,4,7,0,0,2,0,1,14,0.2857142857142857,0.5,0.0,0.0,0.14285714285714285,0.0,0.07142857142857142
>13,100 to 110,13,6,0,1,0,0,0,0,0,1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
>13,100 to 110,13,8,1,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0
>13,100 to 110,13,9,0,4,0,0,0,0,1,5,0.0,0.8,0.0,0.0,0.0,0.0,0.2
>13,100 to 110,14,2,1,4,0,0,0,0,0,5,0.2,0.8,0.0,0.0,0.0,0.0,0.0
>13,100 to 110,14,3,7,17,2,0,0,2,1,29,0.2413793103448276,0.5862068965517241,0.06896551724137931,0.0,0.0,0.06896551724137931,0.034482758620689655
>13,100 to 110,14,4,16,17,5,1,4,2,1,47,0.3404255319148936,0.3617021276595745,0.10638297872340426,0.02127659574468085,0.0851063829787234,0.0425531914893617,0.02127659574468085
>13,100 to 110,14,5,7,10,1,0,1,1,3,23,0.30434782608695654,0.43478260869565216,0.043478260869565216,0.0,0.043478260869565216,0.043478260869565216,0.13043478260869565
>13,100 to 110,14,6,8,13,1,0,2,0,1,25,0.32,0.52,0.04,0.0,0.08,0.0,0.04
>13,100 to 110,14,7,1,0,0,0,1,0,0,2,0.5,0.0,0.0,0.0,0.5,0.0,0.0
>13,100 to 110,15,3,16,27,3,0,5,2,0,53,0.3018867924528302,0.5094339622641509,0.05660377358490566,0.0,0.09433962264150944,0.03773584905660377,0.0
>13,100 to 110,15,4,12,14,4,0,4,4,3,41,0.2926829268292683,0.34146341463414637,0.0975609756097561,0.0,0.0975609756097561,0.0975609756097561,0.07317073170731707
>13,100 to 110,15,5,10,33,3,1,3,2,5,57,0.17543859649122806,0.5789473684210527,0.05263157894736842,0.017543859649122806,0.05263157894736842,0.03508771929824561,0.08771929824561403
>13,100 to 110,15,6,15,24,4,0,2,0,2,47,0.3191489361702128,0.5106382978723404,0.0851063829787234,0.0,0.0425531914893617,0.0,0.0425531914893617
>13,100 to 110,15,7,4,8,0,1,0,1,1,15,0.26666666666666666,0.5333333333333333,0.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667
>13,100 to 110,15,8,6,4,1,0,1,1,1,14,0.42857142857142855,0.2857142857142857,0.07142857142857142,0.0,0.07142857142857142,0.07142857142857142,0.07142857142857142
>13,100 to 110,15,9,1,1,0,0,0,0,0,2,0.5,0.5,0.0,0.0,0.0,0.0,0.0
>13,100 to 110,15,10,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0
>13,100 to 110,16,2,0,0,0,0,0,1,0,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0
>13,100 to 110,16,3,4,14,3,0,2,0,1,24,0.16666666666666666,0.5833333333333334,0.125,0.0,0.08333333333333333,0.0,0.041666666666666664
>13,100 to 110,16,4,5,14,4,0,2,1,3,29,0.1724137931034483,0.4827586206896552,0.13793103448275862,0.0,0.06896551724137931,0.034482758620689655,0.10344827586206896
>13,100 to 110,16,5,14,38,8,0,8,7,1,76,0.18421052631578946,0.5,0.10526315789473684,0.0,0.10526315789473684,0.09210526315789473,0.013157894736842105
>13,100 to 110,16,6,15,29,7,1,5,2,6,65,0.23076923076923078,0.4461538461538462,0.1076923076923077,0.015384615384615385,0.07692307692307693,0.03076923076923077,0.09230769230769231
>13,100 to 110,16,7,10,13,3,0,4,1,8,39,0.2564102564102564,0.3333333333333333,0.07692307692307693,0.0,0.10256410256410256,0.02564102564102564,0.20512820512820512
>13,100 to 110,16,8,11,5,0,0,1,2,3,22,0.5,0.22727272727272727,0.0,0.0,0.045454545454545456,0.09090909090909091,0.13636363636363635
>13,100 to 110,16,9,3,2,0,0,0,0,2,7,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0.2857142857142857
