,PLAYERS,Batsman_avg,Batsman_strikerate,Bowler_economy,Bowler_average,4s ratio,6s ratio,Balls per innnings,Bowling Style
27,Evin Lewis,27.25,137.11,0,0,0.13,0.08,0,
35,Ishan Kishan,29.42,134.26,0,0,0.13,0.06,0,
40,Manan Vohra,22.1,133.64,0,0,0.13,0.05,0,
57,Shreyas Iyer,31.55,125.38,0,0,0.11,0.04,0,
73,Shivam Dube,28.36,141.79,9.4,41.5,0.07,0.09,8.15,Pace
80,Shubman Gill,37.7,134.07,0,0,0.13,0.04,0,
127,Mohammaed Siraj,12.12,87.39,8.54,29.82,0.09,0.02,20.68,Pace
142,Anrich Nortje,11.25,109.76,8.33,24.15,0.00,0.00,23.05,Pace
179,Carlos Brathwaite,13.92,163.06,8.95,29.15,0.09,0.14,15.88,Pace
194,Kane Richardson,4.25,100,8.33,23.3,0.00,0.00,21.09,pace
197,Maheesh Theekshana,7,100,7.77,28.39,0.00,0.14,22.91,spin
