Batting_order,Name,Batsman_avg,Batsman_strikerate,Bowler_economy,Bowler_average,4s,6s,Ratio
1,Saha,23.85,131.13,0,0,160,59,0.36875
2,Guptill,22.5,137.76,0,0,24,15,0.625
3,Raina,33.34,137.11,7.39,44.72,493,194,0.3935091278
4,Butler,35.54,150.82,0,0,140,61,0.4357142857
5,Stokes,22.68,132.02,8.26,31.08,43,25,0.5813953488
6,Stoinis,31.53,129.95,9.3,37.93,34,18,0.5294117647
7,Woakes,10.5,95.45,9.24,23.04,5,2,0.4
8,Deepak Chahar,11.83,161.36,7.63,26.52,2,6,3
9,Shreyas Gopal,14.11,107.63,7.5,19.37,14,1,0.07142857143
10,Rahul Chahar,7.5,115.38,6.78,24.4,2,0,0
11,Mustafizur Rahman,1,33.33,7.51,28.54,1,0,0
