,PLAYERS,Player
0,Virat Kohli,Virat Kohli
1,Ab de Villiers,Ab de Villiers
2,Rohit Sharma,Rohit Sharma
3,Quinton de Kock,Quinton de Kock
4,Hardik Pandya,Hardik Pandya
5,Mahendra Singh Dhoni,Mahendra Singh Dhoni
6,Shreyas Iyer,Shreyas Iyer
7,KL Rahul,KL Rahul
8,Glenn Maxwell,Glenn Maxwell
9,Andre Russell,Andre Russell
10,Dinesh Karthik,Dinesh Karthik
11,Sunil Narine,Sunil Narine
12,Steve Smith,Steve Smith
13,Jos Butler,Jos Butler
14,Ben Stokes,Ben Stokes
15,David Warner,David Warner
16,Bhuvneshwar Kumar,Bhuvneshwar Kumar
17,Rashid Khan,Rashid Khan
18,Mitchell Starc,Mitchell Starc
19,Eoin Morgan,Eoin Morgan
20,Jofra Archer,Jofra Archer
21,Rishab Pant,Rishab Pant
22,Pat Cummins,Pat Cummins
23,Aaron Finch,Aaron Finch
24,Chris Gayle,Chris Gayle
25,Suresh Raina,Suresh Raina
26,Shane Watson,Shane Watson
27,Navdeep Saini,Navdeep Saini
28,Nicholas Pooran,Nicholas Pooran
29,Mohammad Shami,Mohammad Shami
30,Ambati Rayudu,Ambati Rayudu
31,Krunal Pandya,Krunal Pandya
32,Dwayne Bravo,Dwayne Bravo
33,Faf du Plessis,Faf du Plessis
34,Ravindra Jadeja,Ravindra Jadeja
35,Kane Williamson,Kane Williamson
36,Mohammad Nabi,Mohammad Nabi
37,Martin Guptil,Martin Guptil
38,Manish Pandey,Manish Pandey
39,Jonny Bairstow,Jonny Bairstow
40,Shikhar Dhawan,Shikhar Dhawan
41,Shimron Hetmyer,Shimron Hetmyer
42,Jason Roy,Jason Roy
43,Yuzvendra Chahal,Yuzvendra Chahal
44,Kieron Pollard,Kieron Pollard
45,Deepak Chahar,Deepak Chahar
46,Moeen Ali,Moeen Ali
47,Chris Lynn,Chris Lynn
48,Imran Tahir,Imran Tahir
49,Lungisani Ngidi,Lungisani Ngidi
50,Marcus Stoinis,Marcus Stoinis
51,Chris Morris,Chris Morris
52,Nathan Coulter-Nile,Nathan Coulter-Nile
53,Sam Curran,Sam Curran
54,Shardul Thakur,Shardul Thakur
55,James Neesham,James Neesham
56,Lockie Ferguson,Lockie Ferguson
57,Parthiv Patel,Parthiv Patel
58,Shivam Dube,Shivam Dube
59,Isuru Udana,Isuru Udana
60,Dale Steyn,Dale Steyn
61,Wriddhiman Saha,Wriddhiman Saha
62,Washington Sundar,Washington Sundar
63,Vijay Shankar,Vijay Shankar
64,Dhawal Kulkarni,Dhawal Kulkarni
65,Khaleel Ahmed,Khaleel Ahmed
66,Murali Vijay,Murali Vijay
67,Axar Patel,Axar Patel
68,Amit Mishra,Amit Mishra
69,Ishant Sharma,Ishant Sharma
70,Mitchell Marsh,Mitchell Marsh
71,Fabian Allen,Fabian Allen
72,Harbhajan Singh,Harbhajan Singh
73,Keemo Paul,Keemo Paul
74,Josh Hazlewood,Josh Hazlewood
75,Alex Carey,Alex Carey
76,Sandeep Lamichhane,Sandeep Lamichhane
77,Tom Banton,Tom Banton
78,Andrew Tye,Andrew Tye
79,Robin Uthappa,Robin Uthappa
80,Ajinkya Rahane,Ajinkya Rahane
81,Kedar Jadhav,Kedar Jadhav
82,Mitchell McClenaghan,Mitchell McClenaghan
83,Mitchell Santner,Mitchell Santner
84,Ravichandran Ashwin,Ravichandran Ashwin
85,David Miller,David Miller
86,Evin Lewis,Evin Lewis
87,D'arcy Short,D'arcy Short
88,Alex Hales,Alex Hales
89,Ross Taylor,Ross Taylor
90,Kusal Perera,Kusal Perera
91,Joshua Phillippe,Joshua Phillippe
92,Suryakumar Yadav,Suryakumar Yadav
93,Ishan Kishan,Ishan Kishan
94,Rahul Chahar,Rahul Chahar
95,Karn Sharma,Karn Sharma
96,Prithvi Shaw,Prithvi Shaw
97,Karun Nair,Karun Nair
98,Krishnappa Gowtham,Krishnappa Gowtham
99,Sarfaraz Khan,Sarfaraz Khan
100,Nitish Rana,Nitish Rana
101,Shubman Gill,Shubman Gill
102,Rahul Tripathi,Rahul Tripathi
103,Manan Vohra,Manan Vohra
104,Sanju Samson,Sanju Samson
105,Mayank Markhande,Mayank Markhande
106,Rahul Tewatia,Rahul Tewatia
107,Shahbaz Nadeem,Shahbaz Nadeem
108,Siddarth Kaul,Siddarth Kaul
109,Ben Cutting,Ben Cutting
110,Shakib Al Hasan,Shakib Al Hasan
111,Yusuf Pathan,Yusuf Pathan
112,Shaun Marsh,Shaun Marsh
113,Travis Head,Travis Head
114,Lendl Simmons,Lendl Simmons
115,Mujeeb Ur Rahman,Mujeeb Ur Rahman
116,JP Duminy,JP Duminy
117,Colin De Grandhomme,Colin De Grandhomme
118,Sam Billings,Sam Billings
119,Adam Zampa,Adam Zampa
120,Mandeep Singh,Mandeep Singh
