,PLAYERS,Player
0,Hardik Pandya,Hardik Pandya
1,Jasprit Bumrah,Jasprit Bumrah
2,Lasith Malinga,Lasith Malinga
3,Andre Russell,Andre Russell
4,Sunil Narine,Sunil Narine
5,Ben Stokes,Ben Stokes
6,Bhuvneshwar Kumar,Bhuvneshwar Kumar
7,Rashid Khan,Rashid Khan
8,Mitchell Starc,Mitchell Starc
9,Jofra Archer,Jofra Archer
10,Kagiso Rabada,Kagiso Rabada
11,Pat Cummins,Pat Cummins
12,Suresh Raina,Suresh Raina
13,Shane Watson,Shane Watson
14,Navdeep Saini,Navdeep Saini
15,Krunal Pandya,Krunal Pandya
16,Dwayne Bravo,Dwayne Bravo
17,Ravindra Jadeja,Ravindra Jadeja
18,Mohammad Nabi,Mohammad Nabi
19,Yuzvendra Chahal,Yuzvendra Chahal
20,Kieron Pollard,Kieron Pollard
21,Deepak Chahar,Deepak Chahar
22,Moeen Ali,Moeen Ali
23,Trent Boult,Trent Boult
24,Imran Tahir,Imran Tahir
25,Lungisani Ngidi,Lungisani Ngidi
26,Chris Morris,Chris Morris
27,Nathan Coulter-Nile,Nathan Coulter-Nile
28,Sam Curran,Sam Curran
29,Shardul Thakur,Shardul Thakur
30,James Neesham,James Neesham
31,Lockie Ferguson,Lockie Ferguson
32,Kuldeep Yadav,Kuldeep Yadav
33,Sheldon Cottrell,Sheldon Cottrell
34,Dale Steyn,Dale Steyn
35,Umesh Yadav,Umesh Yadav
36,Washington Sundar,Washington Sundar
37,Dhawal Kulkarni,Dhawal Kulkarni
38,Khaleel Ahmed,Khaleel Ahmed
39,Axar Patel,Axar Patel
40,Mohit Sharma,Mohit Sharma
41,Amit Mishra,Amit Mishra
42,Ishant Sharma,Ishant Sharma
43,Mitchell Marsh,Mitchell Marsh
44,Fabian Allen,Fabian Allen
45,Piyush Chawla,Piyush Chawla
46,Harbhajan Singh,Harbhajan Singh
47,Keemo Paul,Keemo Paul
48,Josh Hazlewood,Josh Hazlewood
49,Sandeep Lamichhane,Sandeep Lamichhane
50,Andrew Tye,Andrew Tye
51,Mitchell McClenaghan,Mitchell McClenaghan
52,Mitchell Santner,Mitchell Santner
53,Ravichandran Ashwin,Ravichandran Ashwin
54,Rahul Chahar,Rahul Chahar
55,Karn Sharma,Karn Sharma
56,Krishnappa Gowtham,Krishnappa Gowtham
57,Nitish Rana,Nitish Rana
58,Shreyas Gopal,Shreyas Gopal
59,Mayank Markhande,Mayank Markhande
60,Rahul Tewatia,Rahul Tewatia
61,Sandeep Sharma,Sandeep Sharma
62,Shahbaz Nadeem,Shahbaz Nadeem
63,Siddarth Kaul,Siddarth Kaul
64,Shakib Al Hasan,Shakib Al Hasan
65,Yusuf Pathan,Yusuf Pathan
66,Mujeeb Ur Rahman,Mujeeb Ur Rahman
67,JP Duminy,JP Duminy
68,Adam Zampa,Adam Zampa
