player,balls_Faced,dots,singles,doubles,triples,fours,sixes,wickets,dot_prob,sing_prob,doub_prob,trip_prob,four_prob,six_prob,wkt_prob,dots_conc,singles_conc,doubles_conc,triples_conc,fours_conc,sixes_conc,wickets_conc,balls_bowled,dot_conc_prob,sing_conc_prob,doub_conc_prob,trip_conc_prob,four_conc_prob,six_conc_prob,wkt_conc_prob,Present_league
Akhila Dhananjaya,5,2,2,1,0,0,0,0,0.4,0.4,0.2,0,0,0,0,6,11,2,0,2,4,0,25,0.24,0.44,0.08,0,0.08,0.16,0,222
Andrew Flintoff,53,18,23,2,1,5,2,2,0.339622642,0.433962264,0.037735849,0.018867925,0.094339623,0.037735849,0.037735849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Alex Hales,118,41,44,8,0,13,6,6,0.347457627,0.372881356,0.06779661,0,0.110169492,0.050847458,0.050847458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
Alzari Joseph,13,6,3,2,0,2,0,0,0.461538462,0.230769231,0.153846154,0,0.153846154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Anil kumble,47,19,21,1,0,3,0,3,0.404255319,0.446808511,0.021276596,0,0.063829787,0,0.063829787,329,411,62,3,71,35,45,956,0.344142259,0.429916318,0.064853556,0.003138075,0.074267782,0.036610879,0.04707113,222
Amit Mishra,389,130,172,22,0,29,5,31,0.334190231,0.442159383,0.05655527,0,0.074550129,0.01285347,0.079691517,952,1395,241,6,216,169,156,3135,0.303668262,0.444976077,0.076874003,0.001913876,0.068899522,0.053907496,0.049760766,28
Abhimanyu Mithun,26,6,8,2,0,4,1,5,0.230769231,0.307692308,0.076923077,0,0.153846154,0.038461538,0.192307692,83,133,20,1,41,20,7,305,0.272131148,0.436065574,0.06557377,0.003278689,0.13442623,0.06557377,0.02295082,222
Abhinav Mukund,22,6,11,2,0,1,0,2,0.272727273,0.5,0.090909091,0,0.045454545,0,0.090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Aashish Nehra,62,29,21,1,0,3,1,7,0.467741935,0.338709677,0.016129032,0,0.048387097,0.016129032,0.112903226,692,675,107,7,277,75,106,1939,0.356884992,0.348117586,0.055183084,0.003610108,0.142857143,0.038679732,0.054667354,222
Andrew Symonds,750,250,288,66,4,74,41,27,0.333333333,0.384,0.088,0.005333333,0.098666667,0.054666667,0.036,170,218,37,1,44,33,20,523,0.325047801,0.416826004,0.070745698,0.001912046,0.084130019,0.063097514,0.038240918,222
Ashton Turner,10,4,3,0,0,0,0,3,0.4,0.3,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222
Adam Zampa,8,4,1,0,0,1,0,2,0.5,0.125,0,0,0.125,0,0.25,51,109,16,0,12,14,19,221,0.230769231,0.49321267,0.07239819,0,0.054298643,0.063348416,0.085972851,10
Ajit Agarkar,154,44,67,15,0,13,5,10,0.285714286,0.435064935,0.097402597,0,0.084415584,0.032467532,0.064935065,225,341,47,4,113,40,29,799,0.281602003,0.426783479,0.058823529,0.005006258,0.141426783,0.050062578,0.036295369,222
Ab de Villiers,2907,783,1210,220,15,357,212,110,0.269349845,0.41623667,0.075679395,0.005159959,0.122807018,0.072927417,0.037839697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Ashok Dinda,48,19,16,1,0,2,0,10,0.395833333,0.333333333,0.020833333,0,0.041666667,0,0.208333333,558,536,102,6,230,56,69,1557,0.358381503,0.344251766,0.065510597,0.003853565,0.147719974,0.035966602,0.044315992,222
